tx_id,gene_id
ENST00000415118,ENSG00000223997
ENST00000448914,ENSG00000228985
ENST00000434970,ENSG00000237235
ENST00000631435,ENSG00000282253
ENST00000632684,ENSG00000282431
ENST00000710614,ENSG00000292271
ENST00000605284,ENSG00000271336
ENST00000604642,ENSG00000270961
ENST00000603077,ENSG00000282599
ENST00000604446,ENSG00000270824
ENST00000604102,ENSG00000282268
ENST00000603693,ENSG00000270451
ENST00000604950,ENSG00000282520
ENST00000604838,ENSG00000270185
ENST00000603935,ENSG00000282089
ENST00000632524,ENSG00000282455
ENST00000633009,ENSG00000282323
ENST00000634070,ENSG00000282724
ENST00000632963,ENSG00000282674
ENST00000633030,ENSG00000282640
ENST00000633765,ENSG00000282396
ENST00000632619,ENSG00000281984
ENST00000632968,ENSG00000282592
ENST00000633159,ENSG00000282487
ENST00000631871,ENSG00000282346
ENST00000633010,ENSG00000282274
ENST00000633379,ENSG00000282232
ENST00000632473,ENSG00000282818
ENST00000631884,ENSG00000282736
ENST00000632859,ENSG00000282042
ENST00000631895,ENSG00000282102
ENST00000634154,ENSG00000281940
ENST00000632609,ENSG00000282373
ENST00000632911,ENSG00000281939
ENST00000633504,ENSG00000282132
ENST00000632304,ENSG00000282495
ENST00000632542,ENSG00000282010
ENST00000633968,ENSG00000282769
ENST00000634085,ENSG00000282227
ENST00000633353,ENSG00000282754
ENST00000631803,ENSG00000282578
ENST00000633210,ENSG00000282714
ENST00000603326,ENSG00000271317
ENST00000439842,ENSG00000236597
ENST00000390567,ENSG00000211907
ENST00000452198,ENSG00000225825
ENST00000390569,ENSG00000211909
ENST00000437320,ENSG00000227196
ENST00000390571,ENSG00000211911
ENST00000390572,ENSG00000211912
ENST00000450276,ENSG00000237020
ENST00000390574,ENSG00000211914
ENST00000390575,ENSG00000211915
ENST00000431870,ENSG00000227800
ENST00000390577,ENSG00000211917
ENST00000390578,ENSG00000211918
ENST00000451044,ENSG00000227108
ENST00000390580,ENSG00000211920
ENST00000390581,ENSG00000211921
ENST00000431440,ENSG00000232543
ENST00000390585,ENSG00000211925
ENST00000430425,ENSG00000237197
ENST00000454691,ENSG00000228131
ENST00000390588,ENSG00000211928
ENST00000414852,ENSG00000233655
ENST00000390590,ENSG00000211930
ENST00000390591,ENSG00000211931
ENST00000454908,ENSG00000236170
ENST00000390583,ENSG00000211923
ENST00000390584,ENSG00000211924
ENST00000390469,ENSG00000211821
ENST00000535880,ENSG00000256590
ENST00000390392,ENSG00000211745
ENST00000634383,ENSG00000283063
ENST00000634176,ENSG00000282711
ENST00000633265,ENSG00000282704
ENST00000632248,ENSG00000282618
ENST00000633313,ENSG00000282756
ENST00000632187,ENSG00000282577
ENST00000634111,ENSG00000282242
ENST00000632638,ENSG00000282621
ENST00000631824,ENSG00000282354
ENST00000632308,ENSG00000282225
ENST00000610439,ENSG00000281963
ENST00000631663,ENSG00000282483
ENST00000634123,ENSG00000282148
ENST00000632021,ENSG00000281943
ENST00000633790,ENSG00000282748
ENST00000633283,ENSG00000282234
ENST00000631392,ENSG00000282506
ENST00000632829,ENSG00000282605
ENST00000633466,ENSG00000282064
ENST00000631427,ENSG00000282543
ENST00000633575,ENSG00000282007
ENST00000633328,ENSG00000282204
ENST00000631511,ENSG00000282470
ENST00000631882,ENSG00000282203
ENST00000631559,ENSG00000282771
ENST00000633842,ENSG00000282449
ENST00000632560,ENSG00000282040
ENST00000633696,ENSG00000282466
ENST00000633796,ENSG00000282407
