"","CHP212_WT_DMSO_1","CHP212_WT_DMSO_2","CHP212_WT_Nutlin_1","CHP212_WT_Nutlin_2","CHP212_KO_DMSO_1","CHP212_KO_DMSO_2","CHP212_KO_Nutlin_1","CHP212_KO_Nutlin_2"
"ENSG00000000003",2494.524,2398.32,2987.272,2431.717,3625.957,4069.04,4177.569,3801.542
"ENSG00000000005",0,0,0,0,0,0,0,0
"ENSG00000000419",4080.521,3766.528,3738.489,3163.789,4381.298,4609.535,3876.157,3522.432
"ENSG00000000457",1573.865,1244.187,1540.201,1393.583,1699.388,1952.449,1824.642,1514.22
"ENSG00000000460",2329.791,2179.346,757.903,813.922,2416.654,2618.669,1261.12,1107.209
"ENSG00000000938",0,2,30,6,0,0,4,0
"ENSG00000000971",8783.53,8391.718,10902.954,10399.676,8623.246,8787.663,6779.391,6942.401
"ENSG00000001036",4263,4175,3181.001,3093,3624.001,3635.999,3523,3079
"ENSG00000001084",5332.281,5133.165,4044.403,3812.784,6247.186,6654.578,5373.271,4849.945
"ENSG00000001167",8165.933,7487.873,8071.896,7635.943,9901.864,11015.883,10457.971,9387.882
"ENSG00000001460",343.602,267.074,416.755,313.83,398.705,460.78,435.428,407.76
"ENSG00000001461",950.999,820.01,1585.999,1682.999,1034,1059.054,1383.999,1188
"ENSG00000001497",8478.204,7976.37,5035.634,4992.607,7668.746,8423.368,6848.605,6143.233
"ENSG00000001561",1277,1134,1244,1317,2412,2586,2594,2188
"ENSG00000001617",2220.001,1874.001,4358.002,3973.999,3112.999,3468.999,4245,3869.001
"ENSG00000001626",0,20,4,4,0,0,2,17
"ENSG00000001629",4215.806,4180.855,4965.863,4790.588,6081.968,6920,6541.659,5795.991
"ENSG00000001630",6939.184,6485.365,3182.721,2851.662,6746.971,7242.623,5230.322,4544.353
"ENSG00000001631",3707.37,3630.459,4031.298,3842.348,4767.133,5094.847,4842.032,4093.68
"ENSG00000002016",1185,880.998,1543,1423.998,1567.001,1507.999,2210.999,2104
"ENSG00000002079",0,5,0,11,12,5,10,2
"ENSG00000002330",2466.786,2196.491,1906.61,1557.72,2244.352,2507.365,1777.616,1663.284
"ENSG00000002549",5650,5363.999,3946.998,3744,4877,5413.999,4408,4183.001
"ENSG00000002587",9,2.001,4.845,14.89,71.873,95.887,132.144,62.245
"ENSG00000002726",1,38,7,21,37,28.999,30,49
"ENSG00000002745",2,4,6,0,8,9,8,12
"ENSG00000002746",125.983,115.481,199.738,227.314,82.084,97.118,60.062,32.955
"ENSG00000002822",2174.166,2127.944,3943.016,3434.182,2213.046,2353.153,2446.267,2280.683
"ENSG00000002834",34611.007,32486.429,33188.553,31484.076,39874.467,40438.807,29175.884,28820.632
"ENSG00000002919",1876,1654,2161,1932.999,2544.003,2610.001,2740.999,2429
"ENSG00000002933",6,14,12,12,45,53,71.002,81.999
"ENSG00000003056",9458.927,9158.216,9620.063,8308.615,9299.828,9628.673,9781.503,8986.79
"ENSG00000003096",5971.001,5233,5883.001,5221.999,13736,14777.999,14353,13368.001
"ENSG00000003137",19,0,18,18,115,178,134,146
"ENSG00000003147",492.999,439.999,662.001,652.999,1006.001,1100.003,1186.999,1093.998
"ENSG00000003249",852,736,1346.001,1144.999,1655.001,1968.999,1953,1514
"ENSG00000003393",5888.082,5587.996,5772.993,5740.838,5417.111,5859.884,5259.635,4985.359
"ENSG00000003400",108.688,99.825,134.36,114.57,96.895,107.03,129.257,144.045
"ENSG00000003402",2115.981,2076.528,2821.691,2845.697,2908.987,2954.22,3258.067,3001.83
"ENSG00000003436",2527.759,2460.435,2930.512,2800.855,4147.259,4523.853,4346.336,3602.027
"ENSG00000003509",1733.096,1564.075,1952.554,1974.811,2206.61,2350.004,2757.05,2298.468
"ENSG00000003756",10640.141,9203.88,11775.182,11204.123,13199.385,14391.609,14887.222,12475.158
"ENSG00000003987",265.432,214.344,199.715,136.343,410.139,513.369,399.467,337.884
"ENSG00000003989",8115,7527.001,4064.001,4275.999,15406,17462.998,15524,13655
"ENSG00000004059",4977.58,4766.773,4809.597,4065,6786.985,6911.541,6729.83,5687.771
"ENSG00000004139",1433.188,1456.831,1592.973,1635.645,2252.669,2293.433,2864.705,2229.126
"ENSG00000004142",7407.668,7223.846,7104.097,6333.937,7877.686,8501.728,8172.142,7290.16
"ENSG00000004399",5481,4781.998,2199.001,2317,7095.001,8320.999,6231.001,5198.998
"ENSG00000004455",11244.653,9923.552,8590.636,8022.75,9011.627,9600.075,7827.442,7343.407
"ENSG00000004468",32.541,17.296,42.87,27.924,242.067,260.783,364.745,283.65
"ENSG00000004478",26726.999,24079,14848,12302,18524.999,19630,14323,13812
"ENSG00000004487",11560.348,10785.921,9977.822,9036.361,12599.203,13378.298,10844.471,10203.203
"ENSG00000004534",12565.603,11612.729,13352.911,11998.069,14115.322,14504.395,14791.659,13558.776
"ENSG00000004660",561.805,525.161,207.472,245.145,762.587,918.768,712.129,671.034
"ENSG00000004700",6229.282,5603.418,3016.699,2923.164,5876.417,6483.034,3759.066,3357.098
"ENSG00000004766",1488.001,1318.977,1741.554,1679.782,2235,2352.785,2285.957,1829.183
"ENSG00000004776",8,3,4,7,10,17,6,10
"ENSG00000004777",521,474,279.001,188,673.001,826.001,535.998,573
"ENSG00000004779",6303.001,5854.999,5665,4518,5574.999,6172,5069,4848
"ENSG00000004799",121,115,245,217,368,364,255,250
"ENSG00000004809",0,0,65.999,0,0,4,0,0
"ENSG00000004838",107,112,201,123.998,242,231.001,367,278
"ENSG00000004846",19.051,12.544,33.811,25.698,13.488,15.552,39.216,21.462
"ENSG00000004848",0,0,0,0,0,0,0,0
"ENSG00000004864",4118.001,4077.001,3946.999,3599,4944,5276.001,5028,4656.998
"ENSG00000004866",1696.954,1712.937,1291.843,1124.926,2136,2287,1867.974,1675.806
"ENSG00000004897",15626.799,15021.568,11617.084,11308.412,16777.975,18756.944,14499.739,12992.998
"ENSG00000004939",5.94,13.356,5.069,18.103,19.736,33.135,37.939,29.56
"ENSG00000004948",0,0,0,0,0,0,0,0
"ENSG00000004961",2104.001,2131,2126.001,1782,2059.001,2259,1758,1823
"ENSG00000004975",6284.001,5566.998,4371.999,4010,7859,8566.002,7095,6156.999
"ENSG00000005001",56.423,54.562,127.591,123.178,0,0,0,5
"ENSG00000005007",11804,10737,11810.003,11277.999,12436,13468.001,12834,11593.002
"ENSG00000005020",76,59,81,77,33.039,51,22.02,40.458
"ENSG00000005022",24071,22884,24395.999,19915,24217,26124,24457.001,22963.001
"ENSG00000005059",397,323,85,100.999,502,505.999,325.999,211
"ENSG00000005073",2,2,10,4,0,0,2,0
"ENSG00000005075",4709.766,4313.276,3936.629,3380.102,4626.441,5148.055,3893.497,3560.778
"ENSG00000005100",8510.001,8055,7713,7136.011,8495.999,9481.999,7995.15,7421
"ENSG00000005102",3,6,0,0,4,8,0,14
"ENSG00000005108",150,126,67,106,104,106,109,47
"ENSG00000005156",5210.914,5030.078,4135.534,4183.958,5722.44,5921.286,5258.334,5014.549
"ENSG00000005175",4082.001,3747.999,3659.999,3391.999,3838.001,4578.001,3868.001,3316.999
"ENSG00000005187",205.39,221.831,171.503,131.838,210.598,160.368,175.893,182.943
"ENSG00000005189",330.001,303.038,259,186.691,544.481,637.089,606.312,480.429
"ENSG00000005194",7534.001,6955,7631.001,7062.001,8128.999,8540.999,8836.999,7927.999
"ENSG00000005206",4068.679,3637.999,3911,3911.001,9638.986,10435.995,11775.997,10052.983
"ENSG00000005238",536,546,784.001,687,577,598,562.001,553.999
"ENSG00000005243",668.999,645.999,551.002,562,140.999,168.999,136,139.999
"ENSG00000005249",2717.537,2716.697,1609.209,1433.724,2361.098,2789.991,1891.933,1821.643
"ENSG00000005302",2057.001,1800,2270,2213.999,2823.001,2996.999,2756.998,2615
"ENSG00000005339",6127.035,5796.002,5696.083,5941.926,9247.17,10109.402,8706.329,7655.77
"ENSG00000005379",117,132,101,120,106,73.998,88.999,110.001
"ENSG00000005381",8,4,6,6,17,22,14,7
"ENSG00000005421",0,0,0,0,4,0,0,0
"ENSG00000005436",2215,2170,2362.001,2206.999,2795.999,3023.001,3177,2821.999
"ENSG00000005448",2302.037,2223.866,1806.73,1488,2832.022,3069.314,2178.069,1949.054
"ENSG00000005469",860.998,775,2638,2407,1503.999,1551,3252.001,2926.998
"ENSG00000005471",40.744,16.001,24.015,32.002,61.012,61.751,53.292,43.004
"ENSG00000005483",3691.854,3663.001,4188.732,4200.615,5439.651,5913.352,5529.77,4820.855
"ENSG00000005486",2159.002,2154.999,2188,1903.001,2304.999,2325.999,2481,2209
"ENSG00000005513",2,8,10,2,2,4,0,4
"ENSG00000005801",2256.865,2287.433,4104.437,3932.841,2686.815,2770.973,4249.795,3902.672
"ENSG00000005810",6259.693,5612.256,5971.554,7004.89,3867.644,4286.599,3714.055,3396.556
"ENSG00000005812",2787.787,2393.203,2074.102,1984.76,2168.832,2273.588,1955.735,1660.968
"ENSG00000005844",30.449,13.903,13.151,12.991,16.025,24.887,25.04,22.228
"ENSG00000005882",2925.078,2737.768,1998.816,1846.68,3512.976,3792.597,2827.21,2685.075
"ENSG00000005884",13393.864,12262.217,47284.657,46594.659,4208.617,3909.618,10450.191,10123.698
"ENSG00000005889",1906.04,1880.885,1741.673,1559.156,2642.34,2760.876,2589.423,2054.395
"ENSG00000005893",7688.534,7396.473,5893.143,5374.911,10456.253,11504.307,9841.149,8706.292
"ENSG00000005961",128.953,89.315,106.001,106.998,92.961,101.937,173.22,157.949
"ENSG00000005981",3,2,7,0,5,7,18.988,11.113
"ENSG00000006007",4482,4258.001,5874,5257,5869,6305.001,5742.002,4709
"ENSG00000006015",3020.36,2746.717,3680.37,2990.632,3560.191,3904.208,3584.278,3437.791
"ENSG00000006016",1877.89,1846.619,2827.075,2437.363,8735.456,8876.628,11683.224,10477.295
"ENSG00000006025",1130.001,1177.002,1636,1351,1333.001,1309.999,1748.001,1788.998
"ENSG00000006042",6437.502,5841.937,5484.46,5048.384,7902.411,8651.928,7328.342,6649.538
"ENSG00000006062",2386.999,1950.001,3278.999,3097,1749.998,1947,2046.998,1773
"ENSG00000006071",49.277,45.881,34.929,52.457,2552.719,2577.303,2293.273,1910.427
"ENSG00000006116",0,0,0,0,0,0,0,0
"ENSG00000006118",10496.001,9662,13077.002,12792,14167,14333.001,15621.999,14565.001
"ENSG00000006125",14466,13309.999,14931.001,14252.001,16906,18602.001,17288,15507.001
"ENSG00000006128",0,0,0,0,2,0,0,0
"ENSG00000006194",2369.034,2117.669,1926.44,1944.426,2370.696,2871.589,2646.653,2283.845
"ENSG00000006210",388.927,405.147,214.555,189.237,529.408,449.255,341.432,348.882
"ENSG00000006282",2725.999,2745,3881,3486.999,4887.999,5376.999,6702.001,6195
"ENSG00000006283",110.999,56,32,39,325,370.002,376,308.001
"ENSG00000006327",8964,8970.998,12280,10179.001,3748,3590.999,4485,4278.999
"ENSG00000006377",807,650,486,415.001,938,1112,890.999,695.001
"ENSG00000006432",556.695,408.127,1260.317,1495.92,898.423,1071.808,1325.388,1195.54
"ENSG00000006451",4217,3872,5064,4668.001,5361.999,6065.002,5711.999,5342
"ENSG00000006453",691.615,697.173,2094.195,2040.961,551.718,567.335,1124.886,1067.769
"ENSG00000006459",325,265,702,700,731.999,805,1132,872
"ENSG00000006468",6538.998,6400.002,5918,5529,2329.001,2715.999,1896,1667.001
"ENSG00000006530",3221.949,3002.132,2972.899,2880.197,3871.418,4043.411,4029.059,4008.039
"ENSG00000006534",3855.778,3634.768,3783.233,3438.868,1567.938,1553.483,1173.447,1373.68
"ENSG00000006555",0,8,1,0,1,0,0,0
"ENSG00000006576",6250.001,6470,7530.001,7354.002,10134,10750.001,9566.001,9502.002
"ENSG00000006606",1,4,16,4,1,2,9,6
"ENSG00000006607",4247.997,3801.743,2792.949,3006.048,4285.175,4720.452,3704.089,3151.122
"ENSG00000006611",4,12,2,14,54.999,41,44,55
"ENSG00000006625",6090.972,6180.598,3740.494,2860.234,5179.939,5383.294,4033.845,3821.965
"ENSG00000006634",3278.832,2816.892,1250.515,1052.845,3164.072,3511.548,2004.176,1813.895
"ENSG00000006638",359.921,310.355,380.45,363.79,324.711,374.223,387.309,328.797
"ENSG00000006652",7489.862,7079.047,5421.23,4761.155,5596.68,5773.546,5973.436,5149.416
"ENSG00000006659",0,0,0,0,0,0,0,0
"ENSG00000006695",2610.571,2616.87,2684.154,2394.856,2568.43,2582.612,2777.641,2439.01
"ENSG00000006704",2838.288,2495.193,2749.056,2502.633,3117.336,3582.316,3650.52,3391.481
"ENSG00000006712",4840.999,4706.001,3489.999,2991.001,5658,6056.001,5003,4244
"ENSG00000006715",4353.209,4389.085,5699.509,5589.981,6253.437,6824.928,7451.614,6579.437
"ENSG00000006740",280.001,269.001,295,271.999,507,617,702,702
"ENSG00000006744",8891.212,8037.645,7410.9,6687.956,8210.971,9005.612,7271.948,7038.154
"ENSG00000006747",112.789,123.944,280.501,300.913,92.718,76.929,180.307,155.433
"ENSG00000006756",955.049,838.052,1164.837,1086.953,1272.578,1411.054,1378.059,1220.014
"ENSG00000006757",4,4,1,2,1,6,2,2
"ENSG00000006788",0,0,0,0,0,0,0,0
"ENSG00000006837",462.544,417.798,642.395,573.617,597.859,638.098,778.874,739.049
"ENSG00000007001",5,6,12,8,7,4,0,0
"ENSG00000007038",2,2,0,0,0,0,2,0
"ENSG00000007047",1531,1413.999,2954.002,2664.996,2590.02,2590.337,3250.871,2853.974
"ENSG00000007062",609,600,519,495.999,10766,11393.998,8849.003,7566.998
"ENSG00000007080",7836,7622.001,7673,6203.999,8110.002,8211.001,7575.001,7023.001
"ENSG00000007129",0,0,0,0,0,0,0,0
"ENSG00000007168",13447.538,12976.179,11639.655,11145.813,16611.772,18121.594,15287.653,13855.965
"ENSG00000007171",44,64,29,63,46,60,53,56
"ENSG00000007174",1.188,7.003,5,9.807,4.82,8.869,2.088,5.054
"ENSG00000007202",16750.999,15375.001,12164.999,13312.002,15494.999,17333,13856.998,12960.001
"ENSG00000007216",0,2,0,0,0,0,0,2
"ENSG00000007237",617.219,579.059,2277.838,2150.561,1540.775,1540.033,4338.809,3958.568
"ENSG00000007255",797.999,720.998,884.001,842.001,1225.999,1194.001,1087.001,1039
"ENSG00000007264",0,0,0,0,0,0,4,0
"ENSG00000007306",0,189,0,0,0,0,0,93.814
"ENSG00000007312",10,6,150,78,2,0,15,8
"ENSG00000007314",0,0,2,0,0,0,12,6
"ENSG00000007341",680.301,576.624,738.494,694.135,804.522,803.121,862.775,710.58
"ENSG00000007350",0,0,0,2,0,0,0,0
"ENSG00000007372",0,0,0,0,0,0,2,0
"ENSG00000007376",3178,2708,2329,2001.999,2789.999,2864.002,2489,2203.995
"ENSG00000007384",2400,2192,3538,3306,1323.001,1618,2072.002,1946.001
"ENSG00000007392",10131,9523.999,10176.002,9224.001,11189.944,11289,11899.999,10854.001
"ENSG00000007402",48,50.001,112,97.001,78,182.001,177.999,179.001
"ENSG00000007516",95.032,72.502,96.444,72.574,193.657,160.561,218.111,165.414
"ENSG00000007520",3390.966,3076.499,2863.555,2463.426,4153.342,4460.439,3896.89,3502.587
"ENSG00000007541",2567.931,2473.929,3007.995,2970.001,3673.942,3884.197,4203.605,3782.048
"ENSG00000007545",3702.467,3219.915,4194.448,4265.423,4407.524,4819.89,5139.156,4726.126
"ENSG00000007866",1322,1218,3872,3678,1703.001,1678,2763,2673
"ENSG00000007908",2,2,0,0,0,0,0,0
"ENSG00000007923",5723.935,5466.003,5492.693,5435.911,5088.149,5604.432,5448.075,5281.575
"ENSG00000007933",3.15,3.057,2.075,8.13,2.153,7.341,10.559,4.924
"ENSG00000007944",1459,1561,1750,1631,1118,1315,1213,1007
"ENSG00000007952",32,23,17,7,23,29,30,19
"ENSG00000008018",13218,12061,12391,10284,12795,13857,11828,10592
"ENSG00000008056",12,12,38,20,35,39,53,62
"ENSG00000008083",3770.001,3528,3838,3881,4098,4412,3437,3045.001
"ENSG00000008086",856.467,798.819,1096.458,1139.559,1408.33,1457.974,1638.259,1356.486
"ENSG00000008118",0,6,2,2,0,2,0,0
"ENSG00000008128",2313.196,2247.353,2598.819,2495.678,2630.654,2626.046,2828.933,2661.175
"ENSG00000008130",4857.999,4290,4066.001,3661,4799.999,5322.998,4875.999,4352.998
"ENSG00000008196",0,0,0,0,2,13,0,4
"ENSG00000008197",0,0,0,0,0,0,0,0
"ENSG00000008226",4.623,8.604,5.861,8.394,27.931,19.181,24.347,21.313
"ENSG00000008256",6682.999,6365,6792,6716.001,7491.001,7300.999,7417,6608.999
"ENSG00000008277",2450.998,2357.001,1405,1492,3214,3596,2642,2457
"ENSG00000008282",6851.001,6551.001,6420,5633.998,9080.001,10078,8999.999,8271.001
"ENSG00000008283",1275.025,1237.919,1185.816,1072.003,262.037,253.917,310.118,269
"ENSG00000008294",33591.116,30706.363,32746.31,34507.064,48341.095,53447.411,48631.299,45320.756
"ENSG00000008300",2654,2399.001,3195,3556,3690,4276,4716,4021
"ENSG00000008311",2368.179,2409.952,3046.758,3060.567,2462.52,2508.198,2774.087,2348.29
"ENSG00000008323",28,27,44,58,24,40,40,44.999
"ENSG00000008324",1339.388,1154.404,726.46,712.386,948.391,1093.035,820.198,615.688
"ENSG00000008382",1007,1068.001,716,653.001,1489,1664.002,1294.997,1165.998
"ENSG00000008394",3500.005,3255.991,2645.831,2008.609,3649.952,3847.763,3031.511,2886.575
"ENSG00000008405",3659.001,3729.002,2716,2185,4622.001,4808.999,3670.001,3049.999
"ENSG00000008438",0,6,2,8,9,3,3,19
"ENSG00000008441",6290,6163.999,3617,3430,11064,11538.999,8336,7920.001
"ENSG00000008513",567,486.999,341,333.999,831,949.999,753.999,675.999
"ENSG00000008516",43,51.001,85,81.001,75,81.999,112,119
"ENSG00000008517",44,61,46,35,24,5,20,29.001
"ENSG00000008710",7625.981,6612.685,5141.219,6829.146,8159.863,9349.89,8354.956,7510.739
"ENSG00000008735",60.701,44.747,62.047,93.121,207,260,366.008,264
"ENSG00000008838",11350.059,10769,12682.001,12262.12,12835.755,13404.516,13851.077,12564.849
"ENSG00000008853",1984.724,1746.549,1903.704,1782.652,2901.699,3202.709,3211.447,2743.232
"ENSG00000008869",1843.999,1773,2491,2846.999,2821.999,3312,3997.001,3491.001
"ENSG00000008952",10595.174,9978.98,8776.313,8137.65,12237.115,13179.146,10272.455,9453.866
"ENSG00000008988",53763.76,50345.402,70093.165,56057.727,71819.168,77293.371,77654.462,73653.032
"ENSG00000009307",45204.374,42904.139,42313.49,40006.371,56400.509,61896.766,52578.08,48221.999
"ENSG00000009335",10191.973,9350.471,9941.795,9590.281,9187.957,10109.701,9825.844,8770.472
"ENSG00000009413",7442.005,6677.845,12855.236,14103.927,11093.629,12022.265,16913.113,15542.385
"ENSG00000009694",70.059,72,85,140,58,75,170,135
"ENSG00000009709",0,0,0,0,0,2,2,0
"ENSG00000009724",25,32,55,32,50,51.001,38,49.999
"ENSG00000009765",18.189,18.238,13.995,7.642,39.251,18.309,21.404,13.9
"ENSG00000009780",355.001,287.999,270,255.001,577.018,599,587,438.001
