"","ENSEMBL","ENTREZID","SYMBOL"
"1","ENSG00000002746","23072","HECW1"
"2","ENSG00000004660","84254","CAMKK1"
"3","ENSG00000004799","5166","PDK4"
"4","ENSG00000005059","55013","MCUB"
"5","ENSG00000006283","8913","CACNA1G"
"6","ENSG00000006432","4293","MAP3K9"
"7","ENSG00000007306","1087","CEACAM7"
"8","ENSG00000009950","51085","MLXIPL"
"9","ENSG00000011347","9066","SYT7"
"10","ENSG00000012171","7869","SEMA3B"
"11","ENSG00000013364","9961","MVP"
"12","ENSG00000016490","1179","CLCA1"
"13","ENSG00000029534","286","ANK1"
"14","ENSG00000036672","9099","USP2"
"15","ENSG00000047346","56204","ATOSA"
"16","ENSG00000047457","1356","CP"
"17","ENSG00000048740","10659","CELF2"
"18","ENSG00000049130","4254","KITLG"
"19","ENSG00000049246","8863","PER3"
"20","ENSG00000049283","55040","EPN3"
"21","ENSG00000049541","5982","RFC2"
"22","ENSG00000055163","26999","CYFIP2"
"23","ENSG00000056736","55540","IL17RB"
"24","ENSG00000057657","639","PRDM1"
"25","ENSG00000058404","816","CAMK2B"
"26","ENSG00000060656","10076","PTPRU"
"27","ENSG00000063660","2817","GPC1"
"28","ENSG00000064201","10077","TSPAN32"
"29","ENSG00000065320","9423","NTN1"
"30","ENSG00000065328","55388","MCM10"
"31","ENSG00000066248","25791","NGEF"
"32","ENSG00000066923","10734","STAG3"
"33","ENSG00000073111","4171","MCM2"
"34","ENSG00000073756","5743","PTGS2"
"35","ENSG00000074527","59277","NTN4"
"36","ENSG00000075303","55972","SLC25A40"
"37","ENSG00000075426","2355","FOSL2"
"38","ENSG00000076003","4175","MCM6"
"39","ENSG00000076248","7374","UNG"
"40","ENSG00000076356","5362","PLXNA2"
"41","ENSG00000077514","10714","POLD3"
"42","ENSG00000079156","114880","OSBPL6"
"43","ENSG00000080493","8671","SLC4A4"
"44","ENSG00000081277","5317","PKP1"
"45","ENSG00000081479","4036","LRP2"
"46","ENSG00000081913","23239","PHLPP1"
"47","ENSG00000084636","1307","COL16A1"
"48","ENSG00000085117","3732","CD82"
"49","ENSG00000085840","4998","ORC1"
"50","ENSG00000086205","2346","FOLH1"
"51","ENSG00000087085","43","ACHE"
"52","ENSG00000090238","83719","YPEL3"
"53","ENSG00000091138","1811","SLC26A3"
"54","ENSG00000091592","22861","NLRP1"
"55","ENSG00000092470","79968","WDR76"
"56","ENSG00000092621","26227","PHGDH"
"57","ENSG00000092853","63967","CLSPN"
"58","ENSG00000093217","9942","XYLB"
"59","ENSG00000094804","990","CDC6"
"60","ENSG00000095002","4436","MSH2"
"61","ENSG00000095585","29760","BLNK"
"62","ENSG00000095596","1592","CYP26A1"
"63","ENSG00000095637","10580","SORBS1"
"64","ENSG00000095752","3589","IL11"
"65","ENSG00000099256","56952","PRTFDC1"
"66","ENSG00000099953","4320","MMP11"
"67","ENSG00000100031","2678","GGT1"
"68","ENSG00000100234","7078","TIMP3"
"69","ENSG00000100297","4174","MCM5"
"70","ENSG00000100399","150356","CHADL"
"71","ENSG00000100439","63874","ABHD4"
"72","ENSG00000100479","5427","POLE2"
"73","ENSG00000100647","9766","SUSD6"
"74","ENSG00000100739","623","BDKRB1"
"75","ENSG00000100979","5360","PLTP"
"76","ENSG00000101098","140730","RIMS4"
"77","ENSG00000101412","1869","E2F1"
"78","ENSG00000101542","28316","CDH20"
"79","ENSG00000101773","5932","RBBP8"
"80","ENSG00000101868","5422","POLA1"
"81","ENSG00000102312","64840","PORCN"
"82","ENSG00000102362","94121","SYTL4"
"83","ENSG00000102445","80183","RUBCNL"
"84","ENSG00000102837","10562","OLFM4"
"85","ENSG00000103522","50615","IL21R"
"86","ENSG00000103546","6530","SLC6A2"
"87","ENSG00000104368","5327","PLAT"
"88","ENSG00000104369","56704","JPH1"
"89","ENSG00000104419","10397","NDRG1"
"90","ENSG00000104738","4173","MCM4"
"91","ENSG00000105173","898","CCNE1"
"92","ENSG00000105270","25999","CLIP3"
"93","ENSG00000105388","1048","CEACAM5"
"94","ENSG00000105650","5143","PDE4C"
"95","ENSG00000105707","3249","HPN"
"96","ENSG00000106123","2051","EPHB6"
"97","ENSG00000107282","320","APBA1"
"98","ENSG00000107562","6387","CXCL12"
"99","ENSG00000107738","64115","VSIR"
"100","ENSG00000107796","59","ACTA2"
"101","ENSG00000108924","3131","HLF"
"102","ENSG00000109099","5376","PMP22"
"103","ENSG00000109452","8821","INPP4B"
"104","ENSG00000109674","55247","NEIL3"
"105","ENSG00000109758","3083","HGFAC"
"106","ENSG00000109956","27087","B3GAT1"
"107","ENSG00000111052","8825","LIN7A"
"108","ENSG00000111665","83461","CDCA3"
"109","ENSG00000112029","26271","FBXO5"
"110","ENSG00000112118","4172","MCM3"
"111","ENSG00000113368","4001","LMNB1"
"112","ENSG00000113578","2246","FGF1"
"113","ENSG00000114405","57415","CEP15"
"114","ENSG00000115129","9540","TP53I3"
"115","ENSG00000115252","5136","PDE1A"
"116","ENSG00000115380","2202","EFEMP1"
"117","ENSG00000115461","3488","IGFBP5"
"118","ENSG00000115687","23178","PASK"
