"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"GO:0006260","DNA replication",309,32,8.93,308,"4.2e-10","0.03526"
"GO:0006261","DNA-templated DNA replication",166,23,4.8,1403,"4.6e-10","0.16956"
"GO:0006270","DNA replication initiation",39,12,1.13,18,"5.7e-10","0.00178"
"GO:0050896","response to stimulus",7681,278,221.95,1380,"7.5e-08","0.16418"
"GO:1902292","cell cycle DNA replication initiation",6,5,0.17,4906,"1.2e-07","1.00000"
"GO:1902315","nuclear cell cycle DNA replication initi...",6,5,0.17,4907,"1.2e-07","1.00000"
"GO:1902975","mitotic DNA replication initiation",6,5,0.17,1,"1.2e-07","1.2e-07"
"GO:0006950","response to stress",3642,152,105.24,41,"2.9e-07","0.00503"
"GO:0000727","double-strand break repair via break-ind...",12,6,0.35,2,"4.5e-07","4.5e-07"
"GO:0030174","regulation of DNA-templated DNA replicat...",19,7,0.55,3,"6.0e-07","6.0e-07"
"GO:1902969","mitotic DNA replication",16,6,0.46,1941,"3.5e-06","0.25188"
"GO:0007167","enzyme-linked receptor protein signaling...",887,49,25.63,93,"9.9e-06","0.01543"
"GO:0065007","biological regulation",11012,359,318.2,2098,"1.3e-05","0.27076"
"GO:0050789","regulation of biological process",10602,348,306.35,2516,"1.3e-05","0.34447"
"GO:0007154","cell communication",5670,207,163.84,816,"1.7e-05","0.09210"
"GO:0042127","regulation of cell population proliferat...",1320,64,38.14,59,"2.7e-05","0.00869"
"GO:0006259","DNA metabolic process",1001,52,28.92,2829,"2.8e-05","0.39443"
"GO:0023052","signaling",5647,205,163.18,1092,"2.9e-05","0.13564"
"GO:0051716","cellular response to stimulus",6516,231,188.29,771,"2.9e-05","0.08501"
"GO:0008283","cell population proliferation",1500,70,43.34,2640,"3.8e-05","0.36337"
"GO:0006271","DNA strand elongation involved in DNA re...",15,5,0.43,4,"4.7e-05","4.7e-05"
"GO:0090329","regulation of DNA-templated DNA replicat...",48,8,1.39,3580,"6.3e-05","0.56787"
"GO:0038083","peptidyl-tyrosine autophosphorylation",16,5,0.46,5,"6.6e-05","6.6e-05"
"GO:0001666","response to hypoxia",263,20,7.6,66,"8.3e-05","0.00992"
"GO:0050794","regulation of cellular process",10214,333,295.14,1743,"9.6e-05","0.21832"
"GO:0016064","immunoglobulin mediated immune response",114,12,3.29,145,"0.00011","0.02407"
"GO:0044786","cell cycle DNA replication",40,7,1.16,1944,"0.00013","0.25382"
"GO:0007169","cell surface receptor protein tyrosine k...",572,33,16.53,11,"0.00013","0.00050"
"GO:0019724","B cell mediated immunity",116,12,3.35,171,"0.00013","0.02687"
"GO:0036293","response to decreased oxygen levels",273,20,7.89,4908,"0.00014","1.00000"
"GO:0009628","response to abiotic stimulus",958,48,27.68,2517,"0.00014","0.34543"
"GO:0007422","peripheral nervous system development",54,8,1.56,6,"0.00015","0.00015"
"GO:0000076","DNA replication checkpoint signaling",29,6,0.84,68,"0.00015","0.00999"
"GO:0070482","response to oxygen levels",297,21,8.58,3799,"0.00016","0.62108"
"GO:0006974","DNA damage response",966,48,27.91,597,"0.00017","0.07059"
"GO:0045931","positive regulation of mitotic cell cycl...",105,11,3.03,1375,"0.00023","0.16323"
"GO:0014812","muscle cell migration",74,9,2.14,1780,"0.00027","0.22926"
"GO:0048145","regulation of fibroblast proliferation",61,8,1.76,1066,"0.00035","0.12959"
"GO:0033554","cellular response to stress",1849,78,53.43,1402,"0.00036","0.16840"
"GO:0160257","complement activation, GZMK pathway",13,4,0.38,7,"0.00040","0.00040"
"GO:2000427","positive regulation of apoptotic cell cl...",13,4,0.38,8,"0.00040","0.00040"
"GO:0006269","DNA replication, synthesis of primer",6,3,0.17,9,"0.00045","0.00045"
"GO:1905167","positive regulation of lysosomal protein...",6,3,0.17,10,"0.00045","0.00045"
"GO:0006301","DNA damage tolerance",36,6,1.04,276,"0.00053","0.03048"
"GO:0006958","complement activation, classical pathway",36,6,1.04,12,"0.00053","0.00053"
"GO:0033260","nuclear DNA replication",36,6,1.04,3629,"0.00053","0.58153"
"GO:0014909","smooth muscle cell migration",65,8,1.88,13,"0.00054","0.00054"
"GO:0048144","fibroblast proliferation",65,8,1.88,1404,"0.00054","0.16957"
"GO:0006281","DNA repair",648,34,18.72,1392,"0.00060","0.16785"
"GO:0010389","regulation of G2/M transition of mitotic...",100,10,2.89,2188,"0.00062","0.28316"
