Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR16975746 - illumina_universal_adapter	(1, 1.1558622977784234e-05)	(2, 2.0805521360011622e-05)	(3, 6.010483948447802e-05)	(4, 0.00015257382330675188)	(5, 0.0001733793446667635)	(6, 0.0002126786627912299)	(7, 0.00022654901036457098)	(8, 0.0002519779809156963)	(9, 0.0003120828204001743)	(10, 0.0004265131878802383)	(12, 0.0005906456341647744)	(14, 0.0008114153330404533)	(16, 0.0010576140024672574)	(18, 0.0013015009472985048)	(20, 0.0015326734068541895)	(22, 0.0017014293023298393)	(24, 0.0018782762338899381)	(26, 0.0020435645424722528)	(28, 0.002219255611734573)	(30, 0.0023706735727435464)	(32, 0.00254405291741031)	(34, 0.002708185363694846)	(36, 0.0028411095279393646)	(38, 0.0029775012790772184)	(40, 0.003121984066299522)	(42, 0.0032583758174373756)	(44, 0.0034017027423619)	(46, 0.0035646793263486576)	(48, 0.00376117591697099)	(50, 0.00396576354367777)	(52, 0.004181909793362336)	(54, 0.004363380174113548)	(56, 0.004603799532051461)	(58, 0.004881206483518282)	(60, 0.005248770694211821)	(62, 0.005552762478527546)	(64, 0.0059688729057277784)	(66, 0.006505193011896967)	(68, 0.007077344849297286)	(70, 0.007702666352395414)	(72, 0.008472470642715843)	(74, 0.009404095654725253)	(76, 0.010519502772081432)	(78, 0.011956239608220013)	(80, 0.013559420615238685)	(82, 0.015532477557546453)	(84, 0.01796094424517892)	(86, 0.0206460123629182)	(88, 0.024080079249617893)	(90, 0.028188013855922414)	(92, 0.03288774995868948)	(94, 0.03833417310582141)	(96, 0.0449399261376251)	(98, 0.0526056048964916)	(100, 0.06158318736333662)	(102, 0.07160913693426667)	(104, 0.0827978839767618)	(106, 0.09542799130458664)	(108, 0.10948327684557227)	(110, 0.12538563033840783)	(112, 0.14257561443096853)	(114, 0.16180569547910817)	(116, 0.1827695699739154)	(118, 0.20598622008709283)	(120, 0.23156082928773825)	(122, 0.2599164431768385)	(124, 0.2906554451239579)	(126, 0.32451296355048354)	(128, 0.3606417513921437)	(130, 0.40008092885464125)	(132, 0.44320615118475426)	(134, 0.49009023770724264)	(136, 0.541617423079907)	(138, 0.5977611224698983)
SRR16975746 - polya	(1, 0.00098248295311166)	(2, 0.009448018422040834)	(3, 0.013495848188860873)	(4, 0.019552566629219812)	(5, 0.022460716170430325)	(6, 0.024645295913231544)	(7, 0.0280227255473401)	(8, 0.034329110244019176)	(9, 0.04760534459630215)	(10, 0.06461270244581387)	(12, 0.0729730544456452)	(14, 0.08612792325666144)	(16, 0.10155637320740785)	(18, 0.11379117562939245)	(20, 0.12916414418984548)	(22, 0.14814687070626054)	(24, 0.16460288223973193)	(26, 0.18246095474040858)	(28, 0.1993249856649958)	(30, 0.21350163674724815)	(32, 0.22667499935502883)	(34, 0.24002867648126297)	(36, 0.2508383006900868)	(38, 0.2618467332141285)	(40, 0.27354405966764617)	(42, 0.28495935572050585)	(44, 0.2972334574606149)	(46, 0.31014328346450215)	(48, 0.32191689682967317)	(50, 0.3328525100289548)	(52, 0.34586867536423765)	(54, 0.36104745905866387)	(56, 0.3729759579717372)	(58, 0.3837971408035388)	(60, 0.39408084766687346)	(62, 0.40458185664219043)	(64, 0.4162895858563881)	(66, 0.4278424295226834)	(68, 0.4403084044042237)	(70, 0.4545705892965117)	(72, 0.46902464733023086)	(74, 0.48131955459169995)	(76, 0.49502692558105427)	(78, 0.5077055791253858)	(80, 0.5175292527942046)	(82, 0.5274500188960369)	(84, 0.5401067110567106)	(86, 0.5529286915259666)	(88, 0.5644110275920975)	(90, 0.5771601887365935)	(92, 0.5896435015526005)	(94, 0.6062520869093786)	(96, 0.6195375681600438)	(98, 0.6311609194265038)	(100, 0.6424583175249899)	(102, 0.6541221239718721)	(104, 0.6649051633478469)	(106, 0.6759563627769065)	(108, 0.6885772232063491)	(110, 0.6984563782654613)	(112, 0.7081806477766712)	(114, 0.7181580511310945)	(116, 0.7272546874146106)	(118, 0.7375638232484965)	(120, 0.7474418224453108)	(122, 0.7561535565836668)	(124, 0.7659055667900234)	(126, 0.7765637730378382)	(128, 0.7870728730492397)	(130, 0.7984789222037171)	(132, 0.8111228998791153)	(134, 0.8222446069083393)	(136, 0.8326959138048518)	(138, 0.8425970302476218)
SRR16975747 - illumina_universal_adapter	(1, 1.1558622977784234e-05)	(2, 2.5428970551125316e-05)	(3, 6.704001327114855e-05)	(4, 0.00015257382330675188)	(5, 0.00017106762007120665)	(6, 0.0002126786627912299)	(7, 0.00022654901036457098)	(8, 0.0002519779809156963)	(9, 0.0003120828204001743)	(10, 0.0004322924993691304)	(12, 0.0006218539162047918)	(14, 0.000876143621716045)	(16, 0.0011940057536051114)	(18, 0.0015442320298319737)	(20, 0.0019106403782277338)	(22, 0.002273581139730159)	(24, 0.002737081921139307)	(26, 0.003180933043486221)	(28, 0.0036941359036998414)	(30, 0.004196936003233455)	(32, 0.00476562025374044)	(34, 0.005325057605865197)	(36, 0.005918014964625528)	(38, 0.006544492330021434)	(40, 0.007220671774221811)	(42, 0.007834434654342155)	(44, 0.008561472039644783)	(46, 0.009330120467667433)	(48, 0.010129977177730103)	(50, 0.01101190011093504)	(52, 0.011911160978606653)	(54, 0.012754940455984902)	(56, 0.013738579271394342)	(58, 0.01472915326059045)	(60, 0.015816819682799944)	(62, 0.01685709575080053)	(64, 0.01799793183870783)	(66, 0.019299432786006335)	(68, 0.020604401320198175)	(70, 0.022001838838212287)	(72, 0.02353451224506648)	(74, 0.025245188445778548)	(76, 0.02721593366349076)	(78, 0.0295438403312165)	(80, 0.03192491666464005)	(82, 0.034636569615228235)	(84, 0.03777935920288777)	(86, 0.041221517125671917)	(88, 0.04536066001401645)	(90, 0.05018407338264581)	(92, 0.05567210757249777)	(94, 0.06186984121318567)	(96, 0.0691587088629764)	(98, 0.07754911328254999)	(100, 0.08717282277385313)	(102, 0.09788997799885468)	(104, 0.10974565758716798)	(106, 0.12315712782829102)	(108, 0.13779496796735696)	(110, 0.15430530502882395)	(112, 0.17212176648678057)	(114, 0.19190088212636497)	(116, 0.2134611815668259)	(118, 0.23735285526190592)	(120, 0.263544694929565)	(122, 0.2924713047937678)	(124, 0.32342529712827395)	(126, 0.3575602225062664)	(128, 0.39418718699826905)	(130, 0.43392804452048683)	(132, 0.47731564759219547)	(134, 0.5244528679578975)	(136, 0.5764816975677975)	(138, 0.6331097032605582)
SRR16975747 - polya	(1, 0.001465633393583041)	(2, 0.005728453547789866)	(3, 0.007194086941372907)	(4, 0.010215510987765707)	(5, 0.011743560945428782)	(6, 0.013047373617322843)	(7, 0.014815842932923831)	(8, 0.020604401320198175)	(9, 0.02997150938139452)	(10, 0.03841970691585701)	(12, 0.04280042502443725)	(14, 0.05187509992429565)	(16, 0.06538481846072985)	(18, 0.0732146296658809)	(20, 0.08113922157944976)	(22, 0.08992955435405467)	(24, 0.09685201365544965)	(26, 0.10557183882989007)	(28, 0.11302946237515646)	(30, 0.1199704154733159)	(32, 0.12657154505592846)	(34, 0.13337148295375895)	(36, 0.14074819613818085)	(38, 0.14708347739230437)	(40, 0.15605181296076717)	(42, 0.16336148613191792)	(44, 0.17142131393432686)	(46, 0.1810508027371189)	(48, 0.1903786114801908)	(50, 0.19917472356628457)	(52, 0.20951160009531702)	(54, 0.225135390774388)	(56, 0.2355647362872427)	(58, 0.24479082914811007)	(60, 0.25395334958259963)	(62, 0.2621900243165687)	(64, 0.2717929282865118)	(66, 0.2822789110519577)	(68, 0.29153736805716285)	(70, 0.30357798561312066)	(72, 0.316440421262799)	(74, 0.32653341084700016)	(76, 0.34063377501759917)	(78, 0.3530789443777794)	(80, 0.36225071171065126)	(82, 0.3725355744362836)	(84, 0.3884737596603503)	(86, 0.4051713464140574)	(88, 0.41555214571040544)	(90, 0.42677441275953615)	(92, 0.43746613901398657)	(94, 0.4513596038332832)	(96, 0.4611093023150442)	(98, 0.4689541397300664)	(100, 0.4771341772114443)	(102, 0.48555810163765345)	(104, 0.49435999303523614)	(106, 0.5030069988849166)	(108, 0.5137646092903403)	(110, 0.5232392125452301)	(112, 0.5314886017644747)	(114, 0.539900967567706)	(116, 0.5496784067446137)	(118, 0.5598083839223438)	(120, 0.5683386476799486)	(122, 0.5770307321592423)	(124, 0.5876276777052749)	(126, 0.6004554374860198)	(128, 0.610924082316999)	(130, 0.6223648073404098)	(132, 0.6350168760518925)	(134, 0.6470216618766191)	(136, 0.6574105522090516)	(138, 0.6668389209720302)
SRR16975748 - illumina_universal_adapter	(1, 2.471781096495442e-05)	(2, 4.4492059736917954e-05)	(3, 0.00010628658714930401)	(4, 0.0002545934529390305)	(5, 0.00029414195048295763)	(6, 0.00034852113460585735)	(7, 0.00038065428886029806)	(8, 0.0004276181296937115)	(9, 0.0005190740302640428)	(10, 0.000682211582632742)	(12, 0.0008688310554181479)	(14, 0.001143198757129142)	(16, 0.0014212741304848791)	(18, 0.0017042930660336074)	(20, 0.001988547892130583)	(22, 0.0022246029868458975)	(24, 0.002511329594039369)	(26, 0.0027622153753336567)	(28, 0.002932768270991842)	(30, 0.0031107365099395136)	(32, 0.0032800535150494517)	(34, 0.0034580217539971233)	(36, 0.00362239519691407)	(38, 0.0038065428886029807)	(40, 0.0039857470180989)	(42, 0.004194612520752765)	(44, 0.004389883227375905)	(46, 0.00461481530715699)	(48, 0.004852106292420553)	(50, 0.0050560282328814266)	(52, 0.005292083327596741)	(54, 0.005608471307948159)	(56, 0.005955756552005767)	(58, 0.006298098233870387)	(60, 0.006698526771502648)	(62, 0.007123673120099864)	(64, 0.007636567697622668)	(66, 0.008252041190650034)	(68, 0.009022001002208364)	(70, 0.009895775619819502)	(72, 0.010940103133088826)	(74, 0.012230372865459447)	(76, 0.013777707831865594)	(78, 0.015590759266145001)	(80, 0.0178981669197235)	(82, 0.020570162285035068)	(84, 0.023505402337123407)	(86, 0.02712408986239273)	(88, 0.03137802512946139)	(90, 0.03651191446688242)	(92, 0.04256159870055502)	(94, 0.04948134988019401)	(96, 0.05730330116005383)	(98, 0.06622519502785414)	(100, 0.07632118491648976)	(102, 0.08764565001008363)	(104, 0.10041734293567559)	(106, 0.11447065435980042)	(108, 0.1301417465115815)	(110, 0.1471661388136939)	(112, 0.16572427128618167)	(114, 0.18617825985968145)	(116, 0.2086541653701145)	(118, 0.23353634977798585)	(120, 0.26044045112279046)	(122, 0.28966926258884906)	(124, 0.3215317568132236)	(126, 0.35627511190556355)	(128, 0.3937337185324037)	(130, 0.435458619331795)	(132, 0.4802336980042617)	(134, 0.5294962952574158)	(136, 0.5826828450012566)	(138, 0.6402395037237012)
SRR16975748 - polya	(1, 0.0009022001002208363)	(2, 0.010134302495631312)	(3, 0.014556318877261658)	(4, 0.021099123439685095)	(5, 0.024033127601225182)	(6, 0.02620829496614117)	(7, 0.029621824660401377)	(8, 0.036211593063658225)	(9, 0.04998930089552382)	(10, 0.06782072972564193)	(12, 0.07686497675771876)	(14, 0.09047460347502266)	(16, 0.10639287373645331)	(18, 0.11990980866263865)	(20, 0.1360802005959118)	(22, 0.15603612527846777)	(24, 0.1731630964960847)	(26, 0.19209941147633627)	(28, 0.20965400082364688)	(30, 0.225040838149331)	(32, 0.23919920027005692)	(34, 0.25280882698736085)	(36, 0.26390712411062534)	(38, 0.2756592073339129)	(40, 0.2880700202194165)	(42, 0.29980603686557694)	(44, 0.3126704215822874)	(46, 0.3265049803793724)	(48, 0.33932734481744253)	(50, 0.3508557318514973)	(52, 0.36437019499658607)	(54, 0.38021678360621836)	(56, 0.39325048532803886)	(58, 0.404691124133168)	(60, 0.41547674094772585)	(62, 0.42645268490671384)	(64, 0.4386509246179189)	(66, 0.450804672269387)	(68, 0.4640633060709885)	(70, 0.4792066729586678)	(72, 0.4941658921546583)	(74, 0.5069091595976405)	(76, 0.5213641354499459)	(78, 0.5343706475797049)	(80, 0.5446693235182531)	(82, 0.5550668707006612)	(84, 0.56822168969621)	(86, 0.5818671572394131)	(88, 0.593276898780836)	(90, 0.6066937265726132)	(92, 0.6195717060853545)	(94, 0.6373981913532796)	(96, 0.6515466663496196)	(98, 0.6640032071854083)	(100, 0.6756786651947045)	(102, 0.6876841059803829)	(104, 0.6988886896907966)	(106, 0.7106667266155975)	(108, 0.7234248247451587)	(110, 0.7332686929619519)	(112, 0.7435142256069255)	(114, 0.7539933415655178)	(116, 0.7638730506082101)	(118, 0.7744609249350484)	(120, 0.7847596008735966)	(122, 0.7938780013385683)	(124, 0.8039455657445943)	(126, 0.815204528639131)	(128, 0.8258492539311886)	(130, 0.8378991867766039)	(132, 0.850986031791999)	(134, 0.8629766418910985)	(136, 0.8741342617606789)	(138, 0.8842772154901479)
SRR16975749 - illumina_universal_adapter	(1, 2.2246029868458977e-05)	(2, 4.202027864042252e-05)	(3, 0.00010381480605280857)	(4, 0.000234819204167067)	(5, 0.0002718959206144986)	(6, 0.0003238033236409029)	(7, 0.00035099291570235276)	(8, 0.0004004285376322616)	(9, 0.0004869408760096021)	(10, 0.0006488425378300534)	(12, 0.0008564721499356707)	(14, 0.0011543217720633714)	(16, 0.0014781250957042742)	(18, 0.0018451845885338475)	(20, 0.0022307824395871364)	(22, 0.0025990778229649575)	(24, 0.0031428696641939546)	(26, 0.003624866978010566)	(28, 0.004088325933603461)	(30, 0.004667958600731642)	(32, 0.005257478392245805)	(34, 0.005912500382817097)	(36, 0.006552691686809417)	(38, 0.007226252035604425)	(40, 0.007950483896877589)	(42, 0.008711792474598187)	(44, 0.00950152653492848)	(46, 0.010432152117759013)	(48, 0.011360305919493052)	(50, 0.012222957522169961)	(52, 0.013111562826360073)	(54, 0.0140730856728968)	(56, 0.015123592638907363)	(58, 0.01611106918695729)	(60, 0.01718505807338456)	(62, 0.018373984780798866)	(64, 0.019608639438498342)	(66, 0.02098294972814981)	(68, 0.022473433729336557)	(70, 0.023987399650940017)	(72, 0.02572135409013157)	(74, 0.02770619431061741)	(76, 0.029943156202945784)	(78, 0.03249156251343258)	(80, 0.03558005299350364)	(82, 0.038909542130483005)	(84, 0.0425171066408181)	(86, 0.04681059040543068)	(88, 0.051675055603333714)	(90, 0.057514638443804195)	(92, 0.06415878603118394)	(94, 0.0717409745446837)	(96, 0.08013637903893048)	(98, 0.08966633105646865)	(100, 0.10029498977139906)	(102, 0.11231402535310814)	(104, 0.12569501231898622)	(106, 0.1403291923007875)	(108, 0.156591040134631)	(110, 0.17418270619838905)	(112, 0.19321542064140396)	(114, 0.21407725309582548)	(116, 0.23694987947224605)	(118, 0.26229057927351734)	(120, 0.2895011814742874)	(122, 0.31885605377626725)	(124, 0.350754388826541)	(126, 0.3855274052920389)	(128, 0.4230416269935502)	(130, 0.464783830260617)	(132, 0.5094501505648379)	(134, 0.5585187130019171)	(136, 0.6114346027156915)	(138, 0.6684956693282887)
SRR16975749 - polya	(1, 0.0014805968768007698)	(2, 0.0060360894376418695)	(3, 0.007546347687600584)	(4, 0.010492710754623151)	(5, 0.012141388745985611)	(6, 0.013488509443575627)	(7, 0.015166848808096033)	(8, 0.020955760136088356)	(9, 0.030098878412024997)	(10, 0.03888482431951805)	(12, 0.0434366092087144)	(14, 0.05276387517633995)	(16, 0.06622272324675763)	(18, 0.07421893509392039)	(20, 0.08222626995601737)	(22, 0.09118524054026511)	(24, 0.0982322884463736)	(26, 0.10693790146823055)	(28, 0.11443234175280473)	(30, 0.12155972254454933)	(32, 0.12843127399280668)	(34, 0.1352126054310419)	(36, 0.14267491256136167)	(38, 0.1494537722185004)	(40, 0.15800737070292287)	(42, 0.1650235213453252)	(44, 0.17325702417775152)	(46, 0.18329863488226422)	(48, 0.1924602915164246)	(50, 0.2013871289464179)	(52, 0.21195399313393593)	(54, 0.22733465100687877)	(56, 0.23767905489571223)	(58, 0.24713979704254851)	(60, 0.25614820324872617)	(62, 0.26431373210099884)	(64, 0.27433433266619134)	(66, 0.2854301580083594)	(68, 0.29557063995673194)	(70, 0.3080778523049989)	(72, 0.32134266555934166)	(74, 0.33169077711981987)	(76, 0.34584666745944925)	(78, 0.3584033154296461)	(80, 0.3677491197554954)	(82, 0.37807127761446035)	(84, 0.3945209808116375)	(86, 0.41145515310372777)	(88, 0.42173405479350407)	(90, 0.4329979612502338)	(92, 0.4433102319848128)	(94, 0.4572683798367225)	(96, 0.4674249283622223)	(98, 0.47550023720447293)	(100, 0.48379306278321516)	(102, 0.4925184500538441)	(104, 0.5015009025585084)	(106, 0.5101397774907601)	(108, 0.5209488762257346)	(110, 0.5306876937459266)	(112, 0.5391745541407438)	(114, 0.5477615216699689)	(116, 0.5577685274391307)	(118, 0.5681277620145431)	(120, 0.5771831320615541)	(122, 0.5859666061879507)	(124, 0.5974047732119834)	(126, 0.6109488977302302)	(128, 0.6219124827837357)	(130, 0.6341885835994803)	(132, 0.6477598977097885)	(134, 0.6594229968136023)	(136, 0.6696734730207689)	(138, 0.6790983743417061)
SRR16975750 - illumina_universal_adapter	(1, 2.0654395507806673e-05)	(2, 2.5244261176208157e-05)	(3, 5.2783455186617056e-05)	(4, 0.00017900476106765784)	(5, 0.00021113382074646822)	(6, 0.0002501476789278808)	(7, 0.00027309700726988823)	(8, 0.0003144057982855016)	(9, 0.0003603044549695164)	(10, 0.00046242896609144943)	(12, 0.0006288115965710032)	(14, 0.000878959275498884)	(16, 0.0011417290850148688)	(18, 0.0013999090288624523)	(20, 0.0016580889727100356)	(22, 0.0018646329277881024)	(24, 0.002057407285860965)	(26, 0.0022214949835063177)	(28, 0.00238214028190037)	(30, 0.0025599975765509273)	(32, 0.002720642874944979)	(34, 0.0028950577703442354)	(36, 0.003045375870984384)	(38, 0.0032243806320520416)	(40, 0.0035135421691613353)	(42, 0.0038256530346126357)	(44, 0.0044624968961033415)	(46, 0.006518756715547206)	(48, 0.006891683301104827)	(50, 0.007404600789548693)	(52, 0.007901453748153153)	(54, 0.008252578471785866)	(56, 0.008622062658092185)	(58, 0.0089720399153078)	(60, 0.009475777672414861)	(62, 0.010165404989092184)	(64, 0.011307134074107054)	(66, 0.012464927688961326)	(68, 0.013855656986486976)	(70, 0.01525671348176653)	(72, 0.016694488902393292)	(74, 0.01822176670355389)	(76, 0.020139183086528605)	(78, 0.02206692666725723)	(80, 0.024377924031297377)	(82, 0.02704922585030704)	(84, 0.03026786915027358)	(86, 0.03412679871098213)	(88, 0.038644373995106285)	(90, 0.04412008373750925)	(92, 0.050052485113918174)	(94, 0.05708645425074344)	(96, 0.06521854874873377)	(98, 0.07447171793623117)	(100, 0.08480121062296869)	(102, 0.09652946487215158)	(104, 0.10979991398591737)	(106, 0.12453682518073743)	(108, 0.14140343404569578)	(110, 0.1600841873160898)	(112, 0.1807626796186556)	(114, 0.2033930122967091)	(116, 0.2281404205143128)	(118, 0.25635891464364513)	(120, 0.28742312548738636)	(122, 0.3213238733141997)	(124, 0.35853620922076473)	(126, 0.39924372783381745)	(128, 0.44274991703817806)	(130, 0.49142658991799293)	(132, 0.5448503313653519)	(134, 0.602674606522291)	(136, 0.6655821579069845)	(138, 0.7338782115863816)
SRR16975750 - polya	(1, 0.0009156782008460958)	(2, 0.008984662045895903)	(3, 0.013425357080074337)	(4, 0.01956659734439552)	(5, 0.022768028648105555)	(6, 0.02529245476572637)	(7, 0.028964347300447557)	(8, 0.035665551176313724)	(9, 0.048241783107733784)	(10, 0.06427074148820885)	(12, 0.07313491956030924)	(14, 0.08554821126050104)	(16, 0.10061674024986311)	(18, 0.11291528530834488)	(20, 0.12776005834637238)	(22, 0.14591527199773444)	(24, 0.16314103785124523)	(26, 0.1816072149016415)	(28, 0.19911525749375894)	(30, 0.21328417281211431)	(32, 0.22710196340683697)	(34, 0.2405020762257351)	(36, 0.2520169017213373)	(38, 0.26345828936624516)	(40, 0.2754619355555321)	(42, 0.28687922640568075)	(44, 0.2992913706394555)	(46, 0.3120821787908733)	(48, 0.3236486402752451)	(50, 0.33441646513331497)	(52, 0.3476742921164926)	(54, 0.3624811987627558)	(56, 0.3748887531308621)	(58, 0.3862567029250755)	(60, 0.3973022146560837)	(62, 0.4081962608200346)	(64, 0.4205648013299595)	(66, 0.4326671296311171)	(68, 0.44554744016306874)	(70, 0.46027402416013485)	(72, 0.4751153547989111)	(74, 0.48756995529011854)	(76, 0.5019098431046218)	(78, 0.5152502876698308)	(80, 0.5251861993755029)	(82, 0.5353412771668411)	(84, 0.5487723715790009)	(86, 0.5621816641292359)	(88, 0.5735725632517913)	(90, 0.5863610764703749)	(92, 0.5991036910322745)	(94, 0.6164407611282441)	(96, 0.6305190265996485)	(98, 0.6427292167440135)	(100, 0.6542279777097764)	(102, 0.6662327713654805)	(104, 0.6774056518687868)	(106, 0.6886852467488834)	(108, 0.7012821330758112)	(110, 0.711419998870893)	(112, 0.7216370398487548)	(114, 0.731619997677528)	(116, 0.7409397199172172)	(118, 0.7511670880928328)	(120, 0.7618477055032031)	(122, 0.7708277776834305)	(124, 0.7803976476020476)	(126, 0.7915992147657814)	(128, 0.802100827415084)	(130, 0.8141916810520706)	(132, 0.8267793876476617)	(134, 0.8389104026092469)	(136, 0.8501440988326594)	(138, 0.8600926326689197)
