Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR16975746	(1, 1.6010357265939963)	(2, 0.0008391560281871353)	(3, 0.0005918014964625528)	(4, 0.0)	(5, 0.0)	(6, 0.0032641551289262676)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0010448995171916948)	(15, 3.2364144337795856e-06)	(20, 6.334125391825761e-05)	(25, 0.0009468823943400844)	(30, 0.0004877738896624947)	(35, 0.0030283592201794693)	(40, 0.003371881495079217)	(45, 0.00267743942657394)	(50, 0.0007721160149159868)	(55, 0.003892481873998619)	(60, 0.0013671539258123192)	(65, 0.0014818154657519388)	(70, 0.0017379545509396373)	(75, 0.002966405001018546)	(80, 0.0022913814191159467)	(85, 0.0030588739848408197)	(90, 0.0015941652810960015)	(95, 0.0014697944978550432)	(100, 0.0011549376079402005)	(105, 0.0018859049250552757)	(110, 0.004182372138281447)	(115, 0.0018202519465414613)	(120, 0.002259017274778151)	(125, 0.0017971347005858928)	(130, 0.002708878881073513)	(135, 0.0016783120563742706)	(140, 0.004011766863129353)	(145, 0.001180366578491326)	(150, 0.0005247614831914042)
SRR16975747	(1, 2.2558479003576424)	(2, 0.0866341909430884)	(3, 0.012978021879456137)	(4, 0.006401165405096909)	(5, 0.0013546706129963122)	(6, 0.00016182072168897927)	(7, 0.0014956858133252798)	(8, 1.3870347573341081e-05)	(9, 4.623449191113694e-06)	(10, 0.0)	(15, 0.003108344891185736)	(20, 0.0005719206649407639)	(25, 0.0007254191780857386)	(30, 0.00113783084593308)	(35, 0.0006056718440358938)	(40, 0.002918321129430963)	(45, 0.0006657766835203719)	(50, 0.001797597045505004)	(55, 0.00018355093288721365)	(60, 0.0002806433659006012)	(65, 0.0005566632826100888)	(70, 9.246898382227386e-07)	(75, 0.00046604367846426033)	(80, 0.0020259954355460207)	(85, 6.102952932270076e-05)	(90, 0.00010772636615294907)	(95, 0.0010485982765445858)	(100, 0.003759788882213656)	(105, 8.137270576360101e-05)	(110, 0.0016977305429769483)	(115, 0.00459848256548168)	(120, 0.00043460422396468724)	(125, 0.005592986486490235)	(130, 0.0014956858133252798)	(135, 0.002696857913176617)	(140, 0.003250747126272038)	(145, 0.0036668575534722705)	(150, 0.007261126954644056)
SRR16975748	(1, 0.3888828481305314)	(2, 0.0)	(3, 0.0)	(4, 0.020065918941349997)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.8785536333365358e-05)	(15, 3.7571072666730716e-05)	(20, 0.00038015993264099897)	(25, 5.339047168430155e-05)	(30, 0.0005017715625885747)	(35, 0.00027041285195660133)	(40, 3.509929157023528e-05)	(45, 0.0007113785995713882)	(50, 0.0005294555108693237)	(55, 0.0005205570989219401)	(60, 0.00040042853763226166)	(65, 0.00011073579312299579)	(70, 0.00013446489164935203)	(75, 0.0003707671644743163)	(80, 0.00013347617921075387)	(85, 0.00011221886178089305)	(90, 4.7458197052712484e-05)	(95, 0.0002041691185705235)	(100, 0.00011024143690369672)	(105, 0.0005749362830448398)	(110, 9.887124385981768e-07)	(115, 0.00029216452560576126)	(120, 0.0003628574649655309)	(125, 0.0006767736642204521)	(130, 0.00023383049172846882)	(135, 0.0010727529958790218)	(140, 0.002430255174074319)	(145, 0.0007870151011241488)	(150, 0.0)
SRR16975749	(1, 0.2799835883622317)	(2, 0.03227651755803748)	(3, 0.0)	(4, 0.013189423930899679)	(5, 9.887124385981768e-06)	(6, 0.0)	(7, 0.0)	(8, 3.707671644743163e-05)	(9, 0.00048694087600960204)	(10, 0.00030650085596543484)	(15, 0.0004147648679919352)	(20, 0.00015572220907921286)	(25, 0.0004488754471235722)	(30, 0.00011172450556159399)	(35, 0.0006970422692117146)	(40, 7.415343289486326e-05)	(45, 0.00026645800220220865)	(50, 0.00018142873248276544)	(55, 0.0017109668749941448)	(60, 0.00019971991259683174)	(65, 0.0003040290748689394)	(70, 0.00030452343108823847)	(75, 0.0002565708778162269)	(80, 0.00035247598436025004)	(85, 0.00031984847388651024)	(90, 0.0003870809197111862)	(95, 0.00010925272446509854)	(100, 0.000386092207272588)	(105, 0.00016412626480729735)	(110, 0.0005279724422114265)	(115, 0.00020466347478982259)	(120, 0.000145340728473932)	(125, 0.00023481920416706698)	(130, 0.05066014228511268)	(135, 0.00029463630670225667)	(140, 0.004145671255042155)	(145, 6.871551448257329e-05)	(150, 0.0002990855126759485)
SRR16975750	(1, 0.9165020817335738)	(2, 0.008348965650822297)	(3, 0.006175664256834195)	(4, 0.11906341037116867)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0002460167998263195)	(20, 0.001172710678276579)	(25, 0.0007045443800996276)	(30, 0.0013861394318572479)	(35, 0.0040358688822254235)	(40, 0.0010143603127167277)	(45, 0.00485974976970349)	(50, 0.002207266399934273)	(55, 0.003057768508289068)	(60, 0.004697727511608918)	(65, 0.005731824246699772)	(70, 0.0036158961735666883)	(75, 0.0041744828254111485)	(80, 0.0032923106439443836)	(85, 0.010831165004293819)	(90, 0.010144521100300957)	(95, 0.007196909368053526)	(100, 0.012233827952557312)	(105, 0.005840604063040887)	(110, 0.0066906471848288416)	(115, 0.005729529313865571)	(120, 0.0056744509258447534)	(125, 0.005868143257051296)	(130, 0.004431515302841632)	(135, 0.006127470667315979)	(140, 0.006418927137259474)	(145, 0.006102685392706612)	(150, 0.0049501701233709994)
SRR16975751	(1, 2.6690780290933227)	(2, 0.010602589694007425)	(3, 0.012268710931637164)	(4, 0.007926698009329361)	(5, 0.008117177434568022)	(6, 4.589865668401483e-05)	(7, 0.0047688704294691405)	(8, 0.00584978379437769)	(9, 0.008199795016599249)	(10, 0.002578586532507953)	(15, 0.006781985511630032)	(20, 0.0035048214243913723)	(25, 0.005246675445549735)	(30, 0.0062183500075503285)	(35, 0.005759822427277021)	(40, 0.005526657251322226)	(45, 0.0032711972618697364)	(50, 0.005810769936196278)	(55, 0.0030091159322040125)	(60, 0.007162026388973675)	(65, 0.0029600043695521164)	(70, 0.006882962556334864)	(75, 0.00714779780540163)	(80, 0.005309097618639996)	(85, 0.00572448046163033)	(90, 0.004493937475931892)	(95, 0.006974300883136053)	(100, 0.0056891384959836385)	(105, 0.003478200203514644)	(110, 0.007816541233287726)	(115, 0.010841721695331142)	(120, 0.004265821152212338)	(125, 0.010358867827015306)	(130, 0.004185498503015313)	(135, 0.0036388455019086955)	(140, 0.01635093745711344)	(145, 0.008191533258396127)	(150, 0.004823948817489958)
SRR16975752	(1, 0.364848707985976)	(2, 0.1257888080276621)	(3, 0.03620356267819792)	(4, 0.0002971564652109269)	(5, 9.657585119355122e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.002183604758524961)	(30, 0.0005190332925684189)	(35, 0.003432652433961557)	(40, 0.0014105026882011995)	(45, 0.0008013319345187995)	(50, 5.1011859861209114e-05)	(55, 0.0017705572718817724)	(60, 0.0019107160713062597)	(65, 3.466825427460813e-05)	(70, 0.004652974984427763)	(75, 0.0009380239085158259)	(80, 0.0008399622749962199)	(85, 0.0025129531741337383)	(90, 0.001308974229254133)	(95, 0.0006750404368041555)	(100, 0.002792775512207361)	(105, 0.0011232514384973036)	(110, 0.0035549818454733884)	(115, 0.0004457346978163903)	(120, 0.0021930147132566405)	(125, 0.001608111737566466)	(130, 0.0008047987599462602)	(135, 0.0004620783034029913)	(140, 0.001981043101406179)	(145, 0.000331824719485535)	(150, 2.476303876757724e-06)
SRR16975753	(1, 0.44016796670143893)	(2, 0.149799050416705)	(3, 0.013396803973259286)	(4, 0.0353145695864419)	(5, 0.0)	(6, 0.0012480571538858929)	(7, 0.0)	(8, 0.0)	(9, 5.6954989165427645e-05)	(10, 0.0007329859475202862)	(15, 0.0030498158546148125)	(20, 7.280333397667708e-05)	(25, 0.002457483967294365)	(30, 0.00026744081868983416)	(35, 0.00041651431207064915)	(40, 0.0005289385080754498)	(45, 0.0010682774924332822)	(50, 3.4668254274608135e-06)	(55, 9.707111196890277e-05)	(60, 2.476303876757724e-05)	(65, 0.00017433179292374376)	(70, 0.0009528817317763722)	(75, 0.00033776784878975354)	(80, 0.00042939109222978934)	(85, 0.0019859957091596945)	(90, 0.0003674834953108462)	(95, 0.0015724529617411546)	(100, 0.0002035521786694849)	(105, 0.0025931854197406884)	(110, 0.00121190311728523)	(115, 0.0003001280298630361)	(120, 0.004684671674050262)	(125, 0.00025258299542928783)	(130, 2.080095256476488e-05)	(135, 0.0007671589410195428)	(140, 0.007338278908383839)	(145, 0.000510118598612091)	(150, 0.00019067539851034475)
SRR16975754	(1, 0.36833424092140493)	(2, 0.1260789589133969)	(3, 0.037368784701322315)	(4, 0.00020063227418668642)	(5, 7.574891984599386e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0022470814708908876)	(30, 0.0004880687159806739)	(35, 0.0035540574284498735)	(40, 0.0014646156015628107)	(45, 0.0008471595414127637)	(50, 5.609514604811436e-05)	(55, 0.0018187929835454307)	(60, 0.001979708256515569)	(65, 3.5213011387867405e-05)	(70, 0.0047087166390752935)	(75, 0.001000704649208697)	(80, 0.0008807347383174744)	(85, 0.0025656363878648514)	(90, 0.0013741263513684073)	(95, 0.0007226856406928602)	(100, 0.0028530728296588385)	(105, 0.0011820926032182933)	(110, 0.0036371765134700722)	(115, 0.00048356472615199316)	(120, 0.002281885028657966)	(125, 0.001672208587302913)	(130, 0.0008496162631374985)	(135, 0.0004868403551183064)	(140, 0.0020964025384404786)	(145, 0.00034516940232525844)	(150, 0.0)
SRR16975755	(1, 0.44632901387742735)	(2, 0.1493686808638841)	(3, 0.01328676999460811)	(4, 0.03652940477870455)	(5, 2.04726810394578e-06)	(6, 0.0013348188037726485)	(7, 0.0)	(8, 0.0)	(9, 5.118170259864449e-05)	(10, 0.0007705917143251915)	(15, 0.0031896437059475246)	(20, 7.820564157072878e-05)	(25, 0.0025582662226906463)	(30, 0.00030053895765924047)	(35, 0.000454493519075963)	(40, 0.0005613609141019327)	(45, 0.0011108476732009799)	(50, 3.2756289663132475e-06)	(55, 0.0001040012196804456)	(60, 2.9890114317608382e-05)	(65, 0.00018752975832143342)	(70, 0.001008484268003691)	(75, 0.0003771067847468126)	(80, 0.0004655487668372703)	(85, 0.0020992687137860026)	(90, 0.00038775257888733065)	(95, 0.0016283970498784733)	(100, 0.00020759298574010205)	(105, 0.0026851968451352846)	(110, 0.0012504713578900821)	(115, 0.00033493306180552954)	(120, 0.004872088633770167)	(125, 0.00027638119403268024)	(130, 1.4740330348409614e-05)	(135, 0.0008103087155417396)	(140, 0.007575301438220173)	(145, 0.0005658649039306134)	(150, 0.00013716696296436724)
