Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR16975746	(1, 31.10502819055675)	(2, 31.548597166916778)	(3, 35.50867167195111)	(4, 36.11937764305252)	(5, 36.354038032677984)	(6, 39.791597657834615)	(7, 39.934918734095916)	(8, 40.00702294996957)	(9, 40.04038908821606)	(10, 40.05227245301812)	(15, 40.02601021671309)	(20, 39.99741269933885)	(25, 39.90874880033052)	(30, 39.83099400828725)	(35, 39.80637721131484)	(40, 39.740861590853044)	(45, 39.666134103883536)	(50, 39.64175803141671)	(55, 39.53224442474444)	(60, 39.48194808939199)	(65, 39.457547272225085)	(70, 39.40123691598555)	(75, 39.11656881907029)	(80, 39.28900693119762)	(85, 39.193617009373675)	(90, 39.09076569589337)	(95, 39.00593664284142)	(100, 38.86782107566025)	(105, 38.614494753633494)	(110, 38.466942805251904)	(115, 38.26380665956073)	(120, 37.950785653474156)	(125, 37.66540703413409)	(130, 37.319828470959706)	(135, 36.94730779327671)	(140, 36.50032598090867)	(145, 36.10358323322795)	(150, 35.8133175818584)
SRR16975747	(1, 30.442902298103913)	(2, 31.083564867963076)	(3, 34.69031376760528)	(4, 35.305526908150654)	(5, 35.657199861629415)	(6, 38.776528750410215)	(7, 38.7261973045846)	(8, 38.81241866774942)	(9, 38.95723540670679)	(10, 38.97896581671334)	(15, 39.015544216495044)	(20, 38.99177802321101)	(25, 38.92344342104911)	(30, 38.868665192649416)	(35, 38.836319352546965)	(40, 38.74454426060275)	(45, 38.66714195107891)	(50, 38.53308027962991)	(55, 38.48006318313196)	(60, 38.359677581921275)	(65, 38.33285523324053)	(70, 38.20100117093474)	(75, 37.905404747376124)	(80, 38.15305126841092)	(85, 38.070164137994425)	(90, 37.862138583820865)	(95, 37.7149903041647)	(100, 37.47266656599877)	(105, 37.248879433113345)	(110, 36.94714265291851)	(115, 36.577656668581085)	(120, 36.14714411855189)	(125, 35.69901203363615)	(130, 35.19837832981966)	(135, 34.70374020857489)	(140, 34.195922238023115)	(145, 33.877366607249186)	(150, 33.601131316406025)
SRR16975748	(1, 31.202436696635612)	(2, 31.371967016454178)	(3, 35.291509973253596)	(4, 36.10954283741239)	(5, 36.37756950605187)	(6, 39.7205577316979)	(7, 39.843627564185546)	(8, 40.03313691983992)	(9, 40.076844807023974)	(10, 40.12739197408229)	(15, 40.125601396081734)	(20, 40.0792508782918)	(25, 39.97685781106433)	(30, 39.89897272036095)	(35, 39.857771441669044)	(40, 39.81383353547971)	(45, 39.745475292236826)	(50, 39.694791727354044)	(55, 39.624084298413486)	(60, 39.56928252376364)	(65, 39.52957713732995)	(70, 39.46849449770405)	(75, 39.242930744376636)	(80, 39.41591587757733)	(85, 39.37805641726651)	(90, 39.28591868576784)	(95, 39.249466445040184)	(100, 39.1588013216218)	(105, 39.035933557238806)	(110, 38.92473142306345)	(115, 38.79344764447542)	(120, 38.65634291533282)	(125, 38.448656422600614)	(130, 38.25573718560087)	(135, 37.96711872164821)	(140, 37.720919125868456)	(145, 37.42570360670186)	(150, 37.18549352706033)
SRR16975749	(1, 31.189745830951875)	(2, 31.361496057373202)	(3, 34.98959130508484)	(4, 35.69737198009218)	(5, 35.955833745729414)	(6, 39.16635734386062)	(7, 39.275358515163525)	(8, 39.3330209661169)	(9, 39.38782873236412)	(10, 39.42696630124431)	(15, 39.342736885057015)	(20, 39.275395646259156)	(25, 39.252241894331505)	(30, 39.19962027015727)	(35, 39.10059029345899)	(40, 39.007480168220525)	(45, 38.81017525496484)	(50, 38.80674971735802)	(55, 38.72280342392106)	(60, 38.654107772671374)	(65, 38.566652523959156)	(70, 38.50977198140716)	(75, 38.27789792419082)	(80, 38.4953662829828)	(85, 38.41149032160517)	(90, 38.260496155181585)	(95, 38.070680372824675)	(100, 37.88639184399245)	(105, 37.636697288162)	(110, 37.408832138552626)	(115, 37.073761477622824)	(120, 36.69846733011084)	(125, 36.26350470331743)	(130, 35.77859697601806)	(135, 35.35107378743627)	(140, 34.99482926629355)	(145, 34.59874174477639)	(150, 34.31992579119921)
SRR16975750	(1, 31.393528656596807)	(2, 31.65952468269111)	(3, 35.778488607723915)	(4, 36.26603045008682)	(5, 36.48769959604592)	(6, 40.058086677777204)	(7, 40.2004902894507)	(8, 40.20645642633977)	(9, 40.25776960985683)	(10, 40.241007861062926)	(15, 40.223310959268154)	(20, 40.237144979627885)	(25, 40.16743074925426)	(30, 40.09696160990457)	(35, 40.0676256395404)	(40, 40.05324979930812)	(45, 40.053995845253596)	(50, 40.02170215627299)	(55, 39.99850657704801)	(60, 39.976791610459934)	(65, 39.94065418896385)	(70, 39.90255954776971)	(75, 39.72038044478552)	(80, 39.88691858450379)	(85, 39.86281511607999)	(90, 39.81641479625816)	(95, 39.775905302809505)	(100, 39.730643512936304)	(105, 39.686760656405866)	(110, 39.63618970465591)	(115, 39.57893666582059)	(120, 39.5265860625057)	(125, 39.441603905608495)	(130, 39.352540274923776)	(135, 39.26742593907504)	(140, 39.19713117331195)	(145, 39.08070054201724)	(150, 39.0355052960165)
SRR16975751	(1, 30.55775173233005)	(2, 31.300620136750457)	(3, 34.87151003826571)	(4, 35.701386552519764)	(5, 35.91944882139134)	(6, 39.31284432598511)	(7, 39.409753900582594)	(8, 39.485638815208794)	(9, 39.51689635119449)	(10, 39.426776895350606)	(15, 39.358286180878345)	(20, 39.30465924607785)	(25, 39.2423177811855)	(30, 39.229168114386795)	(35, 39.183643439957436)	(40, 39.17266398557313)	(45, 39.09983133620628)	(50, 39.031146369439206)	(55, 38.989032685810386)	(60, 38.91573698784558)	(65, 38.85059658614971)	(70, 38.808506953416995)	(75, 38.52030543720077)	(80, 38.817502190513395)	(85, 38.776202840851454)	(90, 38.68736008827229)	(95, 38.63907029975954)	(100, 38.543598606149594)	(105, 38.44726756576015)	(110, 38.36413576271864)	(115, 38.21350730913158)	(120, 38.05879526582896)	(125, 37.938626703012275)	(130, 37.736632108038094)	(135, 37.53348401556332)	(140, 37.26145670402665)	(145, 36.93931479272396)	(150, 36.64316068706617)
SRR16975752	(1, 31.547896372427783)	(2, 31.455420661378174)	(3, 35.3293113205767)	(4, 36.0990732284163)	(5, 36.32038823195023)	(6, 39.8552426547503)	(7, 40.07412850323328)	(8, 40.13881755895572)	(9, 40.118865730990294)	(10, 40.116182304104676)	(15, 40.09358487727165)	(20, 40.04746186529174)	(25, 39.97038903674899)	(30, 39.90929738691005)	(35, 39.874432489344585)	(40, 39.85405005194543)	(45, 39.802377964897204)	(50, 39.752229815065164)	(55, 39.70399526867476)	(60, 39.663890333812205)	(65, 39.63913321341089)	(70, 39.62563237000655)	(75, 39.359617407088955)	(80, 39.48268585168237)	(85, 39.413755338106355)	(90, 39.351095984856514)	(95, 39.27612767783168)	(100, 39.21836918748953)	(105, 39.148816126166295)	(110, 39.039271673465855)	(115, 38.92733999944432)	(120, 38.78565463296893)	(125, 38.63238362622313)	(130, 38.473294300841104)	(135, 38.31367593294625)	(140, 38.02846853531529)	(145, 37.79600795547289)	(150, 37.55292497794728)
SRR16975753	(1, 31.16810007516573)	(2, 31.254559358316367)	(3, 35.027673116794425)	(4, 35.723970517522254)	(5, 35.927977197005276)	(6, 39.2310660443616)	(7, 39.30226168757237)	(8, 39.34986508848849)	(9, 39.37899892741374)	(10, 39.358080811007355)	(15, 39.32888097363118)	(20, 39.28266298549237)	(25, 39.240797675919474)	(30, 39.21975402576436)	(35, 39.06426104145516)	(40, 39.00400917559734)	(45, 38.95299108040296)	(50, 38.83760453159647)	(55, 38.71579434652892)	(60, 38.659658716790226)	(65, 38.632942523055505)	(70, 38.51447008359953)	(75, 38.236875151147395)	(80, 38.38183026392992)	(85, 38.301590569600904)	(90, 38.197325943448256)	(95, 38.01279719175254)	(100, 37.796605789707414)	(105, 37.6130160078683)	(110, 37.34747294427528)	(115, 37.06955497798244)	(120, 36.74846952286528)	(125, 36.32675379393278)	(130, 35.93117489772741)	(135, 35.445615656936425)	(140, 34.93973950174686)	(145, 34.383581387168974)	(150, 33.99455205718202)
SRR16975754	(1, 31.464902874223156)	(2, 31.575145293081885)	(3, 35.68676861474941)	(4, 36.17468562816358)	(5, 36.373862049056186)	(6, 39.856887872825176)	(7, 39.92623795384888)	(8, 40.073005703422794)	(9, 40.10614898817561)	(10, 40.10220669910753)	(15, 40.08009276826905)	(20, 40.03096888129962)	(25, 39.9517925275574)	(30, 39.88934262036928)	(35, 39.847622727632206)	(40, 39.83489697461066)	(45, 39.79065892163305)	(50, 39.73996780179562)	(55, 39.693214016637455)	(60, 39.653190445211415)	(65, 39.63208009748108)	(70, 39.61865917410215)	(75, 39.358572907547156)	(80, 39.475895754008945)	(85, 39.408391019036095)	(90, 39.34715890880692)	(95, 39.274976641182754)	(100, 39.21917271492789)	(105, 39.15252893398893)	(110, 39.04322816428368)	(115, 38.934297311357604)	(120, 38.792837653011034)	(125, 38.6439375426817)	(130, 38.48782252789664)	(135, 38.33050798597318)	(140, 38.05346423046949)	(145, 37.82075455300655)	(150, 37.58105634980573)
SRR16975755	(1, 31.199874703097503)	(2, 31.326897964423843)	(3, 34.86363540235093)	(4, 35.75386004723744)	(5, 35.99174643863894)	(6, 39.295735718651805)	(7, 39.38394824293317)	(8, 39.39314782641238)	(9, 39.42991299458594)	(10, 39.41979003586834)	(15, 39.38465411231366)	(20, 39.37102268882829)	(25, 39.33675624822642)	(30, 39.32800914375448)	(35, 39.16745163498004)	(40, 39.121583538949)	(45, 39.07048234312127)	(50, 38.957296104226906)	(55, 38.835635657604314)	(60, 38.78023796257025)	(65, 38.761050445893964)	(70, 38.651616308955354)	(75, 38.36464561656048)	(80, 38.509096349985064)	(85, 38.43366943675007)	(90, 38.332161028036495)	(95, 38.150752605440395)	(100, 37.938024882946934)	(105, 37.75905365113786)	(110, 37.50051115166385)	(115, 37.228566682419036)	(120, 36.912722520385216)	(125, 36.49774336802341)	(130, 36.10962187961282)	(135, 35.629261590726095)	(140, 35.12951864775649)	(145, 34.581066528822745)	(150, 34.19408144618036)
