Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
SRR16975746	(12.0, 1.0)	(13.0, 5.0)	(14.0, 3.0)	(15.0, 23.0)	(16.0, 110.0)	(17.0, 350.0)	(18.0, 1049.0)	(19.0, 2932.0)	(20.0, 6819.0)	(21.0, 14659.0)	(22.0, 27437.0)	(23.0, 47361.0)	(24.0, 77496.0)	(25.0, 119324.0)	(26.0, 172523.0)	(27.0, 236540.0)	(28.0, 307611.0)	(29.0, 389364.0)	(30.0, 476205.0)	(31.0, 574289.0)	(32.0, 682487.0)	(33.0, 811563.0)	(34.0, 977728.0)	(35.0, 1202193.0)	(36.0, 1531038.0)	(37.0, 2076249.0)	(38.0, 3225445.0)	(39.0, 7022659.0)	(40.0, 23274285.0)		
SRR16975747	(11.0, 10.0)	(12.0, 79.0)	(13.0, 496.0)	(14.0, 1910.0)	(15.0, 8782.0)	(16.0, 32394.0)	(17.0, 71884.0)	(18.0, 109316.0)	(19.0, 142930.0)	(20.0, 175741.0)	(21.0, 210411.0)	(22.0, 245526.0)	(23.0, 281444.0)	(24.0, 319487.0)	(25.0, 361302.0)	(26.0, 408839.0)	(27.0, 460894.0)	(28.0, 514832.0)	(29.0, 579134.0)	(30.0, 652877.0)	(31.0, 745769.0)	(32.0, 863263.0)	(33.0, 1015798.0)	(34.0, 1217218.0)	(35.0, 1512495.0)	(36.0, 1956419.0)	(37.0, 2708320.0)	(38.0, 4219172.0)	(39.0, 8218686.0)	(40.0, 16222320.0)	
SRR16975748	(12.0, 2.0)	(13.0, 1.0)	(14.0, 0.0)	(15.0, 7.0)	(16.0, 32.0)	(17.0, 97.0)	(18.0, 381.0)	(19.0, 1379.0)	(20.0, 3749.0)	(21.0, 8789.0)	(22.0, 16864.0)	(23.0, 30499.0)	(24.0, 50425.0)	(25.0, 80193.0)	(26.0, 119311.0)	(27.0, 167779.0)	(28.0, 222906.0)	(29.0, 286109.0)	(30.0, 353595.0)	(31.0, 436693.0)	(32.0, 532560.0)	(33.0, 648283.0)	(34.0, 791104.0)	(35.0, 978138.0)	(36.0, 1253645.0)	(37.0, 1710547.0)	(38.0, 2677674.0)	(39.0, 5816521.0)	(40.0, 24269374.0)		
SRR16975749	(12.0, 37.0)	(13.0, 223.0)	(14.0, 557.0)	(15.0, 1983.0)	(16.0, 7383.0)	(17.0, 20534.0)	(18.0, 40684.0)	(19.0, 65375.0)	(20.0, 94044.0)	(21.0, 126474.0)	(22.0, 161953.0)	(23.0, 199332.0)	(24.0, 240750.0)	(25.0, 284956.0)	(26.0, 335043.0)	(27.0, 388471.0)	(28.0, 448310.0)	(29.0, 511559.0)	(30.0, 586104.0)	(31.0, 676081.0)	(32.0, 784689.0)	(33.0, 921641.0)	(34.0, 1107468.0)	(35.0, 1374369.0)	(36.0, 1776609.0)	(37.0, 2450410.0)	(38.0, 3760682.0)	(39.0, 7198061.0)	(40.0, 16892875.0)		
SRR16975750	(12.0, 1.0)	(13.0, 4.0)	(14.0, 3.0)	(15.0, 13.0)	(16.0, 41.0)	(17.0, 123.0)	(18.0, 358.0)	(19.0, 868.0)	(20.0, 2312.0)	(21.0, 5153.0)	(22.0, 10126.0)	(23.0, 17318.0)	(24.0, 28729.0)	(25.0, 46477.0)	(26.0, 71426.0)	(27.0, 103834.0)	(28.0, 146636.0)	(29.0, 195736.0)	(30.0, 252348.0)	(31.0, 316686.0)	(32.0, 389284.0)	(33.0, 475465.0)	(34.0, 578558.0)	(35.0, 714643.0)	(36.0, 924325.0)	(37.0, 1284118.0)	(38.0, 2024450.0)	(39.0, 4281441.0)	(40.0, 31703784.0)		
SRR16975751	(10.0, 1.0)	(11.0, 5.0)	(12.0, 33.0)	(13.0, 586.0)	(14.0, 1794.0)	(15.0, 3960.0)	(16.0, 14930.0)	(17.0, 42447.0)	(18.0, 74699.0)	(19.0, 101331.0)	(20.0, 124011.0)	(21.0, 146101.0)	(22.0, 168390.0)	(23.0, 191317.0)	(24.0, 215498.0)	(25.0, 242110.0)	(26.0, 270712.0)	(27.0, 306001.0)	(28.0, 343923.0)	(29.0, 383628.0)	(30.0, 430963.0)	(31.0, 489633.0)	(32.0, 565542.0)	(33.0, 669673.0)	(34.0, 808472.0)	(35.0, 1003450.0)	(36.0, 1326368.0)	(37.0, 1872032.0)	(38.0, 2977565.0)	(39.0, 6340693.0)	(40.0, 24458392.0)
SRR16975752	(13.0, 2.0)	(14.0, 2.0)	(15.0, 13.0)	(16.0, 72.0)	(17.0, 194.0)	(18.0, 578.0)	(19.0, 1632.0)	(20.0, 4135.0)	(21.0, 8339.0)	(22.0, 15856.0)	(23.0, 27460.0)	(24.0, 45620.0)	(25.0, 72327.0)	(26.0, 109125.0)	(27.0, 154796.0)	(28.0, 210214.0)	(29.0, 275170.0)	(30.0, 348137.0)	(31.0, 432282.0)	(32.0, 525514.0)	(33.0, 635080.0)	(34.0, 773075.0)	(35.0, 952268.0)	(36.0, 1208569.0)	(37.0, 1622252.0)	(38.0, 2447701.0)	(39.0, 4954881.0)	(40.0, 25557472.0)			
SRR16975753	(11.0, 18.0)	(12.0, 85.0)	(13.0, 370.0)	(14.0, 1400.0)	(15.0, 3890.0)	(16.0, 10918.0)	(17.0, 26290.0)	(18.0, 46601.0)	(19.0, 69749.0)	(20.0, 96713.0)	(21.0, 126949.0)	(22.0, 158653.0)	(23.0, 194793.0)	(24.0, 234447.0)	(25.0, 278080.0)	(26.0, 327739.0)	(27.0, 385803.0)	(28.0, 450430.0)	(29.0, 518322.0)	(30.0, 596525.0)	(31.0, 689871.0)	(32.0, 805748.0)	(33.0, 948548.0)	(34.0, 1134133.0)	(35.0, 1393410.0)	(36.0, 1778205.0)	(37.0, 2410401.0)	(38.0, 3642270.0)	(39.0, 6879289.0)	(40.0, 17173116.0)	
SRR16975754	(12.0, 1.0)	(13.0, 0.0)	(14.0, 5.0)	(15.0, 18.0)	(16.0, 91.0)	(17.0, 284.0)	(18.0, 870.0)	(19.0, 2273.0)	(20.0, 5349.0)	(21.0, 10609.0)	(22.0, 19859.0)	(23.0, 34144.0)	(24.0, 55865.0)	(25.0, 88197.0)	(26.0, 132453.0)	(27.0, 187293.0)	(28.0, 254566.0)	(29.0, 332482.0)	(30.0, 421543.0)	(31.0, 521613.0)	(32.0, 636895.0)	(33.0, 768031.0)	(34.0, 934788.0)	(35.0, 1151156.0)	(36.0, 1459750.0)	(37.0, 1962752.0)	(38.0, 2949604.0)	(39.0, 5976254.0)	(40.0, 30938836.0)		
SRR16975755	(11.0, 17.0)	(12.0, 99.0)	(13.0, 436.0)	(14.0, 1818.0)	(15.0, 4686.0)	(16.0, 12373.0)	(17.0, 28429.0)	(18.0, 50164.0)	(19.0, 75641.0)	(20.0, 104496.0)	(21.0, 137251.0)	(22.0, 173781.0)	(23.0, 214611.0)	(24.0, 259692.0)	(25.0, 309104.0)	(26.0, 367006.0)	(27.0, 435646.0)	(28.0, 509187.0)	(29.0, 588832.0)	(30.0, 683384.0)	(31.0, 794589.0)	(32.0, 934296.0)	(33.0, 1106278.0)	(34.0, 1331141.0)	(35.0, 1644521.0)	(36.0, 2110684.0)	(37.0, 2877318.0)	(38.0, 4383331.0)	(39.0, 8380607.0)	(40.0, 21326163.0)	
