Sample	Unique Reads	Duplicate Reads
SRR16975746	21262557.0	21995191.0
SRR16975747	24298377.0	18959371.0
SRR16975748	17661771.0	22794886.0
SRR16975749	17601881.0	22854776.0
SRR16975750	17940477.0	25633783.0
SRR16975751	20865687.0	22708573.0
SRR16975752	20213931.0	20168835.0
SRR16975753	21044448.0	19338318.0
SRR16975754	22255103.0	26590478.0
SRR16975755	23698854.0	25146727.0
SRR16975756	23076505.0	29248811.0
SRR16975757	24967891.0	27357425.0
SRR16975758	22216418.0	27311745.0
SRR16975759	23690474.0	25837689.0
SRR16975760	18839702.0	25730788.0
SRR16975761	19183097.0	25387393.0
