Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR16975746	(1.0, 37.896981031096566)	(2.0, 10.925679584373455)	(3.0, 6.265371528310699)	(4.0, 4.334910042562797)	(5.0, 3.2066997949253473)	(6.0, 2.4206075890903342)	(7.0, 2.0085499579097106)	(8.0, 1.545688160399452)	(9.0, 1.4434039991774308)	('>10', 14.956041926305828)	('>50', 4.057237636054264)	('>100', 6.908731970636923)	('>500', 1.9822281647750901)	('>1k', 1.9108780157940777)	('>5k', 0.13699059858780602)	('>10k+', 0.0)
SRR16975747	(1.0, 46.67509393568401)	(2.0, 9.28747620949298)	(3.0, 5.233173636456471)	(4.0, 3.7126241712863837)	(5.0, 2.5828467289152157)	(6.0, 2.0601683197020835)	(7.0, 1.6546636369938674)	(8.0, 1.3754049113716476)	(9.0, 1.205633614647178)	('>10', 12.417901261673867)	('>50', 3.39110554921637)	('>100', 6.061897299800883)	('>500', 1.847857229023704)	('>1k', 2.2780718556885313)	('>5k', 0.18860726621520624)	('>10k+', 0.02747437383165374)
SRR16975748	(1.0, 31.136471553753438)	(2.0, 12.112472828600932)	(3.0, 7.079976863976478)	(4.0, 4.722902355441934)	(5.0, 3.4818309501481015)	(6.0, 2.7135137502417814)	(7.0, 2.27555257657523)	(8.0, 1.9029458177773735)	(9.0, 1.595974752698806)	('>10', 16.699809743922003)	('>50', 4.553218640876825)	('>100', 7.651681878010243)	('>500', 2.0868666781931355)	('>1k', 1.8913166414208427)	('>5k', 0.09546496836267293)	('>10k+', 0.0)
SRR16975749	(1.0, 31.235321921182297)	(2.0, 11.815168932657201)	(3.0, 6.908609564788574)	(4.0, 4.628319507759547)	(5.0, 3.3915935468187364)	(6.0, 2.752639784591703)	(7.0, 2.230019853993595)	(8.0, 1.8479032617855107)	(9.0, 1.617323063334566)	('>10', 16.787142882504032)	('>50', 4.51257844779667)	('>100', 7.627447389458297)	('>500', 2.2008286206322216)	('>1k', 2.2420069481876106)	('>5k', 0.20309627450940462)	('>10k+', 0.0)
SRR16975750	(1.0, 27.95412341083003)	(2.0, 12.828496809111378)	(3.0, 7.706137959106242)	(4.0, 4.951639358844117)	(5.0, 3.6955754757425763)	(6.0, 2.9154620343748276)	(7.0, 2.24185816626668)	(8.0, 1.813395934064959)	(9.0, 1.5950880146860653)	('>10', 16.736942618807944)	('>50', 4.625544793220968)	('>100', 8.369587844667564)	('>500', 2.4071926288192094)	('>1k', 2.112648349936502)	('>5k', 0.04630660152091647)	('>10k+', 0.0)
SRR16975751	(1.0, 36.380220070476)	(2.0, 11.319784061474522)	(3.0, 6.641089891212228)	(4.0, 4.290473260360498)	(5.0, 3.0663762524879257)	(6.0, 2.3934453911528415)	(7.0, 1.9878087357656518)	(8.0, 1.6406362152200722)	(9.0, 1.3540630995954706)	('>10', 14.567061446396085)	('>50', 3.869450089806339)	('>100', 7.375509813529649)	('>500', 2.214791153522353)	('>1k', 2.5779389552883063)	('>5k', 0.28815088287766116)	('>10k+', 0.03320068083452101)
SRR16975752	(1.0, 38.1500613262682)	(2.0, 11.893530007763314)	(3.0, 6.7637871788736135)	(4.0, 4.516266362209655)	(5.0, 3.225181129036346)	(6.0, 2.4781130041537596)	(7.0, 1.9705498736325309)	(8.0, 1.6334219713315612)	(9.0, 1.398223718022882)	('>10', 14.013310757118544)	('>50', 3.859990321423727)	('>100', 6.76579919347996)	('>500', 1.7985456355697074)	('>1k', 1.5187093046117117)	('>5k', 0.014510216504422854)	('>10k+', 0.0)
SRR16975753	(1.0, 40.97689221218054)	(2.0, 11.160144337567072)	(3.0, 6.317224798367355)	(4.0, 4.157664996629349)	(5.0, 2.9727467345135623)	(6.0, 2.3707159889611744)	(7.0, 1.8613257603386475)	(8.0, 1.4965121768323526)	(9.0, 1.2281490731117184)	('>10', 13.322476697927153)	('>50', 3.4971372749533645)	('>100', 6.349706498321062)	('>500', 1.9384802583890632)	('>1k', 2.1014017739356734)	('>5k', 0.24942141797226264)	('>10k+', 0.0)
SRR16975754	(1.0, 33.63759204832134)	(2.0, 11.522940847678134)	(3.0, 6.618283785445686)	(4.0, 4.600213072572177)	(5.0, 3.334631333353771)	(6.0, 2.6708810512991574)	(7.0, 2.101864210933398)	(8.0, 1.7873731567915565)	(9.0, 1.5208825689677792)	('>10', 16.078764798621563)	('>50', 4.309571685653165)	('>100', 7.484729088965084)	('>500', 2.2218242348114754)	('>1k', 2.0229534547723347)	('>5k', 0.08749466181360546)	('>10k+', 0.0)
SRR16975755	(1.0, 37.420741543507354)	(2.0, 10.723581019933249)	(3.0, 6.263055748311008)	(4.0, 4.248463135473292)	(5.0, 3.111449369047923)	(6.0, 2.390191349107363)	(7.0, 2.032968832847976)	(8.0, 1.5474504161057927)	(9.0, 1.4092983515529511)	('>10', 14.824198793814455)	('>50', 3.9720574698744424)	('>100', 7.148678047176659)	('>500', 2.114823963793886)	('>1k', 2.4975299575460386)	('>5k', 0.2715421105577883)	('>10k+', 0.023969891350226966)
SRR16975756	(1.0, 31.996915558383005)	(2.0, 11.551668661279027)	(3.0, 6.737559257902747)	(4.0, 4.674730454876717)	(5.0, 3.48809456026967)	(6.0, 2.6711353320611337)	(7.0, 2.2603728642378402)	(8.0, 1.883046042277249)	(9.0, 1.563155900090976)	('>10', 16.63414470001777)	('>50', 4.424954535714485)	('>100', 7.587600056233651)	('>500', 2.2526038433189517)	('>1k', 2.157812315407606)	('>5k', 0.11620591792930145)	('>10k+', 0.0)
SRR16975757	(1.0, 36.60053624479331)	(2.0, 10.588670342108857)	(3.0, 6.299103093558202)	(4.0, 4.286162122822635)	(5.0, 3.1631679616685955)	(6.0, 2.448826388188217)	(7.0, 2.0076159154526496)	(8.0, 1.677717800120201)	(9.0, 1.4394970213588523)	('>10', 15.357080304611587)	('>50', 4.009936451127063)	('>100', 7.0137852497910504)	('>500', 2.2048757743622986)	('>1k', 2.5992474152633718)	('>5k', 0.2588464759523971)	('>10k+', 0.04493143882062469)
SRR16975758	(1.0, 32.76235961039483)	(2.0, 11.676025154295349)	(3.0, 6.9159002799788265)	(4.0, 4.657586138967264)	(5.0, 3.340753611518383)	(6.0, 2.5918396190505764)	(7.0, 2.0573227836882575)	(8.0, 1.8148459416658613)	(9.0, 1.5736972424827214)	('>10', 15.723652064909185)	('>50', 4.082143014496501)	('>100', 7.6412532351817495)	('>500', 2.478810628196033)	('>1k', 2.502504435814988)	('>5k', 0.18130623935940854)	('>10k+', 0.0)
SRR16975759	(1.0, 36.53388623431154)	(2.0, 10.833517449920148)	(3.0, 6.485316711200801)	(4.0, 4.437441464097431)	(5.0, 3.297802802655611)	(6.0, 2.5262289772992474)	(7.0, 1.964403861281983)	(8.0, 1.6518304077758525)	(9.0, 1.2997146054104953)	('>10', 14.394988938809657)	('>50', 3.8359535345823996)	('>100', 6.945544747372952)	('>500', 2.3359360325153076)	('>1k', 3.0347635930762644)	('>5k', 0.3486145511771644)	('>10k+', 0.07405608851336544)
SRR16975760	(1.0, 29.13685275266284)	(2.0, 12.955879164895045)	(3.0, 7.383519886830489)	(4.0, 4.916184718147484)	(5.0, 3.648903244514524)	(6.0, 2.823636687976432)	(7.0, 2.2941184100412815)	(8.0, 1.8724614757312303)	(9.0, 1.5980929438374678)	('>10', 16.312686525747832)	('>50', 4.618426424140205)	('>100', 7.978400268226965)	('>500', 2.3000612881212477)	('>1k', 2.0768121014641325)	('>5k', 0.08396410766307072)	('>10k+', 0.0)
