Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR16975746	50.84682504221458	48.0	150.0	150	20.0	43.257748
SRR16975747	43.82884614585504	49.0	150.0	150	10.0	43.257748
SRR16975748	56.343970304944655	48.0	150.0	150	18.181818181818183	40.456657
SRR16975749	56.49200385856959	49.0	150.0	150	18.181818181818183	40.456657
SRR16975750	58.82781218613404	48.0	150.0	150	20.0	43.574259999999995
SRR16975751	52.1146499310697	49.0	150.0	150	20.0	43.574259999999995
SRR16975752	49.944164635667995	48.0	150.0	150	10.0	40.382766
SRR16975753	47.887552524089415	49.0	150.0	150	10.0	40.382766
SRR16975754	54.43783814479196	47.0	150.0	150	20.0	48.845580999999996
SRR16975755	51.48209292318761	48.0	150.0	150	20.0	48.845580999999996
SRR16975756	55.898012779607186	47.0	150.0	150	20.0	52.325316
SRR16975757	52.28334449459716	48.0	150.0	150	20.0	52.325316
SRR16975758	55.143869094396784	47.0	150.0	150	20.0	49.528163
SRR16975759	52.16767161057645	49.0	150.0	150	20.0	49.528163
SRR16975760	57.7305478701251	48.0	150.0	150	20.0	44.57049
SRR16975761	56.96009516052879	48.0	150.0	150	20.0	44.57049
